number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
95,-0.0332488542628141,2025-12-07 02:13:53.650055,2025-12-07 02:13:55.081950,0 days 00:00:01.431895,0.00020264586107808218,0.7865602185214775,46,extensive,46,COMPLETE
96,-0.013320683661249647,2025-12-07 02:13:55.082948,2025-12-07 02:13:56.566235,0 days 00:00:01.483287,0.0002752595471213759,0.8387281178656882,27,extensive,27,COMPLETE
97,-0.0016559721242364045,2025-12-07 02:13:56.567242,2025-12-07 02:13:58.123057,0 days 00:00:01.555815,0.0021337079613555224,0.9418477888838634,1,extensive,1,COMPLETE
98,0.0005034521170031262,2025-12-07 02:13:58.124068,2025-12-07 02:13:59.567053,0 days 00:00:01.442985,0.0008874838432197217,0.7033511722469189,14,extensive,14,COMPLETE
99,-0.010719615506928756,2025-12-07 02:13:59.568300,2025-12-07 02:14:00.998651,0 days 00:00:01.430351,0.00038410807492755795,0.7379248331311853,43,extensive,43,COMPLETE
100,-0.08226788120391353,2025-12-07 02:14:00.999651,2025-12-07 02:14:02.407102,0 days 00:00:01.407451,0.0001267868702726597,0.8057110814125094,31,extensive,31,COMPLETE
101,0.0017386823969025207,2025-12-07 02:14:02.407640,2025-12-07 02:14:03.795550,0 days 00:00:01.387910,0.0003876557155293816,0.8425208141758193,10,extensive,10,COMPLETE
102,0.001487740889819918,2025-12-07 02:14:03.796550,2025-12-07 02:14:05.188325,0 days 00:00:01.391775,0.0005825255359218871,0.8790703594892787,10,extensive,10,COMPLETE
103,-0.002481783560266293,2025-12-07 02:14:05.189325,2025-12-07 02:14:06.620801,0 days 00:00:01.431476,0.00047568762831972413,0.9151758358869051,55,extensive,55,COMPLETE
104,-0.0022960459758692986,2025-12-07 02:14:06.621807,2025-12-07 02:14:08.048721,0 days 00:00:01.426914,0.00027883621920291035,0.5982105056696398,8,extensive,8,COMPLETE
105,0.000490344404741531,2025-12-07 02:14:08.048721,2025-12-07 02:14:09.482855,0 days 00:00:01.434134,0.0007997611372277894,0.7826591036568946,24,extensive,24,COMPLETE
106,-0.001306376285428475,2025-12-07 02:14:09.483857,2025-12-07 02:14:10.975644,0 days 00:00:01.491787,0.0011103203110745853,0.84214579328342,73,extensive,73,COMPLETE
107,-0.035972821901652664,2025-12-07 02:14:10.976647,2025-12-07 02:14:12.458551,0 days 00:00:01.481904,0.00022584512025585675,0.6679362817560093,34,extensive,34,COMPLETE
108,-0.03908615967137311,2025-12-07 02:14:12.463554,2025-12-07 02:14:13.922836,0 days 00:00:01.459282,0.0001729440596577116,0.808652090840431,23,extensive,23,COMPLETE
109,0.0012038863224084206,2025-12-07 02:14:13.923836,2025-12-07 02:14:15.390786,0 days 00:00:01.466950,0.00040775062233814024,0.7353798453984356,9,extensive,9,COMPLETE
110,0.00013788880774756596,2025-12-07 02:14:15.392790,2025-12-07 02:14:16.904811,0 days 00:00:01.512021,0.0006645894597789106,0.8550266228457436,384,extensive,384,COMPLETE
111,0.0013373885384827533,2025-12-07 02:14:16.904811,2025-12-07 02:14:18.335851,0 days 00:00:01.431040,0.00036119888168629236,0.8309088524099888,10,extensive,10,COMPLETE
112,0.0010830876717075795,2025-12-07 02:14:18.336852,2025-12-07 02:14:19.762997,0 days 00:00:01.426145,0.0003681888766078671,0.7744208603717998,1,extensive,1,COMPLETE
113,0.0007897908669620701,2025-12-07 02:14:19.762997,2025-12-07 02:14:21.192379,0 days 00:00:01.429382,0.0002907617999358736,0.8346626611775028,17,extensive,17,COMPLETE
114,-0.0037365779833467005,2025-12-07 02:14:21.193382,2025-12-07 02:14:22.607963,0 days 00:00:01.414581,0.0004519898080838764,0.8930721320692505,43,extensive,43,COMPLETE
115,-0.0007868461825819203,2025-12-07 02:14:22.608964,2025-12-07 02:14:24.008022,0 days 00:00:01.399058,0.0005668383262795952,0.8098809345059236,24,extensive,24,COMPLETE
116,-0.0012883321370446381,2025-12-07 02:14:24.009534,2025-12-07 02:14:25.417593,0 days 00:00:01.408059,0.0010267031294920897,0.9025673945156055,36,extensive,36,COMPLETE
117,0.0015416932195930395,2025-12-07 02:14:25.418597,2025-12-07 02:14:26.830837,0 days 00:00:01.412240,0.00034381314578455017,0.9535194695089583,13,extensive,13,COMPLETE
118,0.0009657383855471066,2025-12-07 02:14:26.831842,2025-12-07 02:14:28.334061,0 days 00:00:01.502219,0.00023204165679319014,0.8702706783483416,1,extensive,1,COMPLETE
119,-0.0005282710675676242,2025-12-07 02:14:28.335065,2025-12-07 02:14:29.738588,0 days 00:00:01.403523,0.0007024744779282642,0.7109522001047444,60,extensive,60,COMPLETE
120,-0.09043817984220918,2025-12-07 02:14:29.739696,2025-12-07 02:14:31.193272,0 days 00:00:01.453576,0.0004677723616174949,0.2578817570227954,51,extensive,51,COMPLETE
121,0.0020030002865625653,2025-12-07 02:14:31.194325,2025-12-07 02:14:32.601518,0 days 00:00:01.407193,0.0003326622307646901,0.9536043693842055,17,extensive,17,COMPLETE
122,-0.0016559721242364045,2025-12-07 02:14:32.602517,2025-12-07 02:14:34.036967,0 days 00:00:01.434450,0.09735348182003772,0.9892733236470277,19,extensive,19,COMPLETE
123,-0.007580930337638292,2025-12-07 02:14:34.037620,2025-12-07 02:14:35.478261,0 days 00:00:01.440641,0.00038923968358715356,0.792251297353132,29,extensive,29,COMPLETE
124,-0.004367987176427168,2025-12-07 02:14:35.480431,2025-12-07 02:14:36.908094,0 days 00:00:01.427663,0.0001499521359746827,0.7560629714854226,9,extensive,9,COMPLETE
125,-0.002033475348150645,2025-12-07 02:14:36.908094,2025-12-07 02:14:38.361910,0 days 00:00:01.453816,0.0005284038315629864,0.8476103909270196,38,extensive,38,COMPLETE
126,0.001257762140623749,2025-12-07 02:14:38.362914,2025-12-07 02:14:39.816365,0 days 00:00:01.453451,0.0002833589842542836,0.931455903636908,16,extensive,16,COMPLETE
127,0.0008889893846852903,2025-12-07 02:14:39.817368,2025-12-07 02:14:41.224477,0 days 00:00:01.407109,0.0002067563316506961,0.8275097346321142,1,extensive,1,COMPLETE
128,-0.014070478712337797,2025-12-07 02:14:41.225479,2025-12-07 02:14:42.689907,0 days 00:00:01.464428,0.00032432163420791565,0.690052020955034,24,extensive,24,COMPLETE
129,-0.0005662282884556872,2025-12-07 02:14:42.691412,2025-12-07 02:14:44.101127,0 days 00:00:01.409715,0.0008217612722915494,0.8744499161798495,45,extensive,45,COMPLETE
130,0.0008093230338406254,2025-12-07 02:14:44.101127,2025-12-07 02:14:45.567626,0 days 00:00:01.466499,0.0006189835839868257,0.9525706800040722,10,extensive,10,COMPLETE
131,-0.005591667973405527,2025-12-07 02:14:45.568629,2025-12-07 02:14:47.149190,0 days 00:00:01.580561,0.00036006338261190205,0.9646388685199302,20,extensive,20,COMPLETE
132,-0.013178698752394006,2025-12-07 02:14:47.149190,2025-12-07 02:14:48.827130,0 days 00:00:01.677940,0.0002547414590757083,0.9009027390763397,31,extensive,31,COMPLETE
133,-0.002034697027692952,2025-12-07 02:14:48.828134,2025-12-07 02:14:50.525349,0 days 00:00:01.697215,0.00044337879495084937,0.9585713173109426,133,extensive,133,COMPLETE
134,0.00042969795588635823,2025-12-07 02:14:50.525349,2025-12-07 02:14:52.030198,0 days 00:00:01.504849,0.0003362660013189728,0.7758489238447133,8,extensive,8,COMPLETE
135,-0.0014687029708416732,2025-12-07 02:14:52.031204,2025-12-07 02:14:53.554722,0 days 00:00:01.523518,0.00018119836567676034,0.915687180771258,16,extensive,16,COMPLETE
136,-0.0046579318489886985,2025-12-07 02:14:53.556226,2025-12-07 02:14:55.012006,0 days 00:00:01.455780,0.000518572016820866,0.7388966515794767,35,extensive,35,COMPLETE
137,0.0018977273390625715,2025-12-07 02:14:55.014011,2025-12-07 02:14:56.471338,0 days 00:00:01.457327,0.0004141948080623643,0.812961610286562,11,extensive,11,COMPLETE
138,0.0005869860578865774,2025-12-07 02:14:56.472330,2025-12-07 02:14:57.993334,0 days 00:00:01.521004,0.0006427232928560535,0.812247253758719,25,extensive,25,COMPLETE
139,0.0010847271556239102,2025-12-07 02:14:57.994334,2025-12-07 02:14:59.519076,0 days 00:00:01.524742,0.0004097925503211583,0.8497820062513896,1,extensive,1,COMPLETE
140,-0.03421247490380094,2025-12-07 02:14:59.520081,2025-12-07 02:15:00.968269,0 days 00:00:01.448188,0.00025041647670983165,0.7567436368773803,50,extensive,50,COMPLETE
141,0.0007788275984765466,2025-12-07 02:15:00.969317,2025-12-07 02:15:02.369403,0 days 00:00:01.400086,0.000327085843962339,0.8649323480603258,13,extensive,13,COMPLETE
142,0.0021341909814951063,2025-12-07 02:15:02.370566,2025-12-07 02:15:03.859710,0 days 00:00:01.489144,0.0005079067206948394,0.7939577627296897,10,extensive,10,COMPLETE
143,-0.002490896552777788,2025-12-07 02:15:03.860716,2025-12-07 02:15:05.297827,0 days 00:00:01.437111,0.0005161521503955898,0.7970023680750533,21,extensive,21,COMPLETE
144,0.00020030548133716705,2025-12-07 02:15:05.298824,2025-12-07 02:15:06.726185,0 days 00:00:01.427361,0.000758568159831321,0.8243993539727968,1,extensive,1,COMPLETE
145,-0.006496698285145652,2025-12-07 02:15:06.727258,2025-12-07 02:15:08.141493,0 days 00:00:01.414235,0.00041063552177753054,0.7794000616244922,33,extensive,33,COMPLETE
146,-0.0016936920519356284,2025-12-07 02:15:08.142498,2025-12-07 02:15:09.660581,0 days 00:00:01.518083,0.0002847650005683329,0.6473220012149679,9,extensive,9,COMPLETE
147,-3.3197772334718025e-05,2025-12-07 02:15:09.661586,2025-12-07 02:15:11.163245,0 days 00:00:01.501659,0.0009594885635241977,0.7164658390303811,26,extensive,26,COMPLETE
148,-0.0016099593082787116,2025-12-07 02:15:11.164250,2025-12-07 02:15:12.644674,0 days 00:00:01.480424,0.0013111298228278756,0.8094331639369466,41,extensive,41,COMPLETE
149,0.0018701706199059827,2025-12-07 02:15:12.645430,2025-12-07 02:15:14.056870,0 days 00:00:01.411440,0.0005548538084317519,0.835793889592254,16,extensive,16,COMPLETE
