number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
98,-0.011687288683760752,2025-12-07 02:06:31.598611,2025-12-07 02:06:33.061539,0 days 00:00:01.462928,0.00031905675042466546,432,extensive,432,COMPLETE
99,-0.0007421441835162949,2025-12-07 02:06:33.064527,2025-12-07 02:06:34.512272,0 days 00:00:01.447745,0.0004645110386766049,30,extensive,30,COMPLETE
100,-0.0007500202817657028,2025-12-07 02:06:34.513276,2025-12-07 02:06:35.995030,0 days 00:00:01.481754,0.0007527269189102151,497,extensive,497,COMPLETE
101,-9.099820476573169e-05,2025-12-07 02:06:35.996169,2025-12-07 02:06:37.445043,0 days 00:00:01.448874,0.0006246729508416095,112,extensive,112,COMPLETE
102,-1.8326129233618243e-05,2025-12-07 02:06:37.446284,2025-12-07 02:06:38.941747,0 days 00:00:01.495463,0.0006152448573868126,102,extensive,102,COMPLETE
103,-0.0009562072908201694,2025-12-07 02:06:38.941747,2025-12-07 02:06:40.446199,0 days 00:00:01.504452,0.0008371956147232097,353,extensive,353,COMPLETE
104,0.0002631644626440351,2025-12-07 02:06:40.447238,2025-12-07 02:06:41.862654,0 days 00:00:01.415416,0.0005301756506655367,78,extensive,78,COMPLETE
105,-0.0016315087093371854,2025-12-07 02:06:41.864471,2025-12-07 02:06:43.329104,0 days 00:00:01.464633,0.0010693755986894255,325,extensive,325,COMPLETE
106,-0.0005552092784526877,2025-12-07 02:06:43.330105,2025-12-07 02:06:44.779114,0 days 00:00:01.449009,0.0004813963520324726,83,extensive,83,COMPLETE
107,-0.06082768903307648,2025-12-07 02:06:44.780126,2025-12-07 02:06:46.345587,0 days 00:00:01.565461,0.00021137460181085247,409,extensive,409,COMPLETE
108,-0.0016559721242364045,2025-12-07 02:06:46.346801,2025-12-07 02:06:47.979158,0 days 00:00:01.632357,0.001478049591459539,467,extensive,467,COMPLETE
109,-0.004026987645228057,2025-12-07 02:06:47.981279,2025-12-07 02:06:49.280240,0 days 00:00:01.298961,0.0003969648418615528,41,extensive,41,COMPLETE
110,-0.08285575386221895,2025-12-07 02:06:49.281108,2025-12-07 02:06:50.697618,0 days 00:00:01.416510,0.00014893713115084225,121,extensive,121,COMPLETE
111,0.00045936872751254726,2025-12-07 02:06:50.698800,2025-12-07 02:06:52.079910,0 days 00:00:01.381110,0.000542912349519744,136,extensive,136,COMPLETE
112,-0.008985922602665175,2025-12-07 02:06:52.080914,2025-12-07 02:06:53.498354,0 days 00:00:01.417440,0.000313155976163075,132,extensive,132,COMPLETE
113,0.00037767966394671354,2025-12-07 02:06:53.499642,2025-12-07 02:06:54.958351,0 days 00:00:01.458709,0.0005262712198677662,149,extensive,149,COMPLETE
114,-0.000741128713544074,2025-12-07 02:06:54.958855,2025-12-07 02:06:56.479294,0 days 00:00:01.520439,0.0007719699530797482,153,extensive,153,COMPLETE
115,-0.0068545601966493175,2025-12-07 02:06:56.481021,2025-12-07 02:06:57.996589,0 days 00:00:01.515568,0.0003426430988314699,211,extensive,211,COMPLETE
