number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
125,0.0008055065645048062,2025-12-07 02:51:30.175043,2025-12-07 02:51:39.389277,0 days 00:00:09.214234,466,0.7346414598660034,0.0026920965502783404,7,12,268,0.014473954905548328,13.772421386504707,0.6440634441549902,extensive,466,COMPLETE
126,-0.0008651435010849454,2025-12-07 02:51:39.390286,2025-12-07 02:51:56.494448,0 days 00:00:17.104162,477,0.7736371598803835,0.0029577395834641212,7,14,430,0.18000842868940198,9.743673706113698,0.6135636975079913,extensive,477,COMPLETE
127,7.645876124702984e-05,2025-12-07 02:51:56.495447,2025-12-07 02:52:06.176515,0 days 00:00:09.681068,436,0.8364522452425899,0.002175977120799877,8,13,200,0.1705649941993532,10.707888072600772,0.5297028248055717,extensive,436,COMPLETE
128,-0.026626647752629202,2025-12-07 02:52:06.178018,2025-12-07 02:52:22.014019,0 days 00:00:15.836001,486,0.7177900408080965,0.003880154144406123,7,17,589,0.010976341914271576,0.5979893573856454,0.7273048757096778,extensive,486,COMPLETE
129,-0.00033849274258020606,2025-12-07 02:52:22.015022,2025-12-07 02:52:34.503311,0 days 00:00:12.488289,459,0.7547251196976764,0.0033638967430341237,8,12,295,0.2901400367711729,15.508278507641597,0.6743614483772356,extensive,459,COMPLETE
130,-0.019632674635623237,2025-12-07 02:52:34.504314,2025-12-07 02:53:49.053671,0 days 00:01:14.549357,498,0.6886228756188697,0.0028295712378975835,7,10,3104,0.45359954383951173,12.726340995956749,0.6841493348924677,extensive,498,COMPLETE
131,0.001954340778687206,2025-12-07 02:53:49.054674,2025-12-07 02:54:01.527390,0 days 00:00:12.472716,477,0.7562892623061765,0.0025279534036976013,6,11,390,0.11125594001824918,11.815881852799084,0.7054148671165673,extensive,477,COMPLETE
132,-1.3574318836121849e-05,2025-12-07 02:54:01.529444,2025-12-07 02:54:22.068533,0 days 00:00:20.539089,471,0.7840368394522456,0.0024784780072302196,7,11,476,0.11583076865804467,11.302301713952858,0.71035608354942,extensive,471,COMPLETE
133,-0.0007933538268767674,2025-12-07 02:54:22.069533,2025-12-07 02:54:34.475912,0 days 00:00:12.406379,482,0.736748631321496,0.0032285870970056424,6,11,396,0.23795640781105695,14.358222846610206,0.7454134755919662,extensive,482,COMPLETE
134,-0.0016559721404409238,2025-12-07 02:54:34.476911,2025-12-07 02:54:36.731911,0 days 00:00:02.255000,445,0.7455790707654535,0.0026359606149240207,6,10,268,3.449155625772602,8.025460908328293,0.6580662371242039,extensive,445,COMPLETE
135,0.0006195816463547462,2025-12-07 02:54:36.733415,2025-12-07 02:54:43.652277,0 days 00:00:06.918862,490,0.7305798176958573,0.003081832386956823,7,12,200,0.000964156124185031,9.340890010650842,0.7677586147172898,extensive,490,COMPLETE
136,-0.00011852165565025737,2025-12-07 02:54:43.652781,2025-12-07 02:54:54.720641,0 days 00:00:11.067860,500,0.7189487503362901,0.003578759037919159,6,15,357,0.12226960587238925,12.248456219462465,0.7185773269823988,extensive,500,COMPLETE
137,-0.0016559721404409238,2025-12-07 02:54:54.721643,2025-12-07 02:54:58.009325,0 days 00:00:03.287682,463,0.7965950588903455,0.004220883436058774,8,11,499,4.66542848873952,6.65497670624953,0.7035614724164851,extensive,463,COMPLETE
138,-0.023755236762240006,2025-12-07 02:54:58.010816,2025-12-07 02:56:11.968366,0 days 00:01:13.957550,428,0.6692532191208225,0.0022854978496277207,6,10,3608,0.366085882291463,10.20497811366241,0.6411191952380829,extensive,428,COMPLETE
139,0.0006331184955846725,2025-12-07 02:56:11.968366,2025-12-07 02:56:24.831301,0 days 00:00:12.862935,477,0.7055446046834499,0.002056514172585852,7,11,319,0.20326132410560738,18.046263862137977,0.6864239006402896,extensive,477,COMPLETE
140,-0.04628249535695191,2025-12-07 02:56:24.832307,2025-12-07 02:56:50.430181,0 days 00:00:25.597874,191,0.7687106412108995,0.0029236703024888367,4,12,2636,0.10853831366209069,0.15031502857693904,0.7799184914288422,extensive,191,COMPLETE
