number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
94,-0.0008167071900180659,2025-12-07 02:23:03.764835,2025-12-07 02:23:05.841014,0 days 00:00:02.076179,0.962890111907732,0.06619007223613528,4,18,1589,125,1.0836044091403245,0.2774991394017445,0.5636548840358754,109,extensive,109,COMPLETE
95,-0.0016559720935109083,2025-12-07 02:23:05.843013,2025-12-07 02:23:07.764121,0 days 00:00:01.921108,0.9598908858153021,0.08471527966718795,3,14,1514,126,4.712153477939799,0.27304574203361304,0.5667589126228983,116,extensive,116,COMPLETE
96,-0.0009721984541476066,2025-12-07 02:23:07.765124,2025-12-07 02:23:09.472741,0 days 00:00:01.707617,0.9877514847024059,0.09631533927051453,4,22,996,101,1.1988097446207462,0.3127899845052204,0.5798052883097838,103,extensive,103,COMPLETE
97,-0.004024116086616754,2025-12-07 02:23:09.474786,2025-12-07 02:23:11.264191,0 days 00:00:01.789405,0.8958028670092204,0.017464665236544014,4,26,2363,125,0.762714820085176,0.4531788574280818,0.5476340275768719,54,extensive,54,COMPLETE
98,-0.0016559720935109083,2025-12-07 02:23:11.264191,2025-12-07 02:23:13.624242,0 days 00:00:02.360051,0.8290391610109515,0.08965815173881729,5,39,3058,127,1.7851830869727887,0.34653026172300394,0.6411272783649768,155,extensive,155,COMPLETE
99,-0.0025928775873242937,2025-12-07 02:23:13.625239,2025-12-07 02:23:15.589210,0 days 00:00:01.963971,0.9633828301407976,0.06609189439063924,3,29,1858,117,0.607370607828224,0.5285552783560532,0.522524050693568,132,extensive,132,COMPLETE
100,-0.00266247897239702,2025-12-07 02:23:15.590210,2025-12-07 02:23:18.258813,0 days 00:00:02.668603,0.9759426356515156,0.07353742245415865,4,12,2183,114,0.9863382299503846,0.41884409488820634,0.597868568299786,270,extensive,270,COMPLETE
101,-0.0009352055905874254,2025-12-07 02:23:18.258813,2025-12-07 02:23:19.844825,0 days 00:00:01.586012,0.9353106662352887,0.0811686630164886,5,19,270,122,1.1046051397449923,0.19941550506840905,0.5292267016216762,82,extensive,82,COMPLETE
102,-0.0016371881936278292,2025-12-07 02:23:19.845834,2025-12-07 02:23:21.437247,0 days 00:00:01.591413,0.9184428327718234,0.06859459926045113,6,17,439,124,0.8921661744003236,0.2469850084319796,0.5634833000763403,67,extensive,67,COMPLETE
103,-0.0016559720935109083,2025-12-07 02:23:21.438247,2025-12-07 02:23:23.053965,0 days 00:00:01.615718,0.7426422257793651,0.059747630671285565,5,18,877,120,1.5818735867904925,0.28114400369665693,0.5411283358112357,86,extensive,86,COMPLETE
104,-0.0012849775776685817,2025-12-07 02:23:23.054953,2025-12-07 02:23:24.667083,0 days 00:00:01.612130,0.9534762477711549,0.08704874789820456,6,10,213,122,1.2916886844799984,0.6397085189992362,0.5068149726102824,106,extensive,106,COMPLETE
105,-0.0010130428327664864,2025-12-07 02:23:24.669091,2025-12-07 02:23:26.312652,0 days 00:00:01.643561,0.9080881132586027,0.08038736819900828,4,15,579,124,1.032140301390648,0.1557561043679534,0.554614505327135,59,extensive,59,COMPLETE
106,-0.001560881742047086,2025-12-07 02:23:26.313655,2025-12-07 02:23:28.059342,0 days 00:00:01.745687,0.93154256584477,0.05598562891275866,5,46,1627,119,1.3828277240578557,0.7945453116952935,0.5712296918922009,92,extensive,92,COMPLETE
