number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
156,-0.010674821554269206,2025-12-07 01:52:30.666986,2025-12-07 01:52:32.103948,0 days 00:00:01.436962,10,extensive,10,COMPLETE
157,-135697168.44280422,2025-12-07 01:52:32.104953,2025-12-07 01:52:33.582509,0 days 00:00:01.477556,206,extensive,206,COMPLETE
158,-0.4731315592445838,2025-12-07 01:52:33.584314,2025-12-07 01:52:35.018342,0 days 00:00:01.434028,44,extensive,44,COMPLETE
159,-0.10713237910019376,2025-12-07 01:52:35.019346,2025-12-07 01:52:36.452270,0 days 00:00:01.432924,20,extensive,20,COMPLETE
160,0.00013629396337352015,2025-12-07 01:52:36.452270,2025-12-07 01:52:37.940375,0 days 00:00:01.488105,1,extensive,1,COMPLETE
161,0.00013629396337352015,2025-12-07 01:52:37.941377,2025-12-07 01:52:39.418967,0 days 00:00:01.477590,1,extensive,1,COMPLETE
162,-0.010674821554269206,2025-12-07 01:52:39.419973,2025-12-07 01:52:40.884142,0 days 00:00:01.464169,10,extensive,10,COMPLETE
163,0.00013629396337352015,2025-12-07 01:52:40.884669,2025-12-07 01:52:42.386154,0 days 00:00:01.501485,1,extensive,1,COMPLETE
164,-0.011992748964072689,2025-12-07 01:52:42.387983,2025-12-07 01:52:43.876863,0 days 00:00:01.488880,16,extensive,16,COMPLETE
165,-0.3186315686483496,2025-12-07 01:52:43.877868,2025-12-07 01:52:45.385017,0 days 00:00:01.507149,28,extensive,28,COMPLETE
166,-0.010409126173960429,2025-12-07 01:52:45.386280,2025-12-07 01:52:46.786693,0 days 00:00:01.400413,11,extensive,11,COMPLETE
167,-0.4534630567419265,2025-12-07 01:52:46.787692,2025-12-07 01:52:48.216132,0 days 00:00:01.428440,37,extensive,37,COMPLETE
168,-0.10713237910019376,2025-12-07 01:52:48.216132,2025-12-07 01:52:49.635236,0 days 00:00:01.419104,20,extensive,20,COMPLETE
