number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
143,-0.006702536610979193,2025-12-07 01:59:30.557680,2025-12-07 01:59:32.023013,0 days 00:00:01.465333,504.3676895500573,9,extensive,9,COMPLETE
144,-0.17863083617807818,2025-12-07 01:59:32.024020,2025-12-07 01:59:33.592359,0 days 00:00:01.568339,973.8456042929523,278,extensive,278,COMPLETE
145,-2.09519760615369,2025-12-07 01:59:33.593477,2025-12-07 01:59:35.073907,0 days 00:00:01.480430,339.60571716674974,230,extensive,230,COMPLETE
146,0.0007754122592873447,2025-12-07 01:59:35.074911,2025-12-07 01:59:36.526269,0 days 00:00:01.451358,644.5665201391308,1,extensive,1,COMPLETE
147,-0.02649581388135695,2025-12-07 01:59:36.528425,2025-12-07 01:59:37.921419,0 days 00:00:01.392994,994.9391432961185,18,extensive,18,COMPLETE
148,-0.07920332506825611,2025-12-07 01:59:37.921419,2025-12-07 01:59:39.353683,0 days 00:00:01.432264,453.20225663929057,29,extensive,29,COMPLETE
149,-0.042887362836997976,2025-12-07 01:59:39.354707,2025-12-07 01:59:40.775489,0 days 00:00:01.420782,164.46389624557037,18,extensive,18,COMPLETE
150,-0.010559917309339658,2025-12-07 01:59:40.776571,2025-12-07 01:59:42.273477,0 days 00:00:01.496906,10.012484453949703,10,extensive,10,COMPLETE
151,0.0008245303894570677,2025-12-07 01:59:42.274515,2025-12-07 01:59:43.644554,0 days 00:00:01.370039,760.0046157850591,1,extensive,1,COMPLETE
152,-0.005580402769706505,2025-12-07 01:59:43.645555,2025-12-07 01:59:45.058252,0 days 00:00:01.412697,697.3245741173646,9,extensive,9,COMPLETE
153,0.0007049812578167428,2025-12-07 01:59:45.059257,2025-12-07 01:59:46.458083,0 days 00:00:01.398826,516.0421208367355,1,extensive,1,COMPLETE
154,-0.042168222706867854,2025-12-07 01:59:46.459618,2025-12-07 01:59:47.872421,0 days 00:00:01.412803,976.6004355933763,23,extensive,23,COMPLETE
155,-0.08995519417898297,2025-12-07 01:59:47.873785,2025-12-07 01:59:49.308264,0 days 00:00:01.434479,374.54078720946006,35,extensive,35,COMPLETE
156,0.00014814782898309176,2025-12-07 01:59:49.309270,2025-12-07 01:59:50.726552,0 days 00:00:01.417282,6.629556635233644,1,extensive,1,COMPLETE
157,-0.039999709217899936,2025-12-07 01:59:50.728064,2025-12-07 01:59:52.223447,0 days 00:00:01.495383,266.0112667633186,17,extensive,17,COMPLETE
158,-0.04702758239071092,2025-12-07 01:59:52.223447,2025-12-07 01:59:53.828914,0 days 00:00:01.605467,994.907785065469,27,extensive,27,COMPLETE
159,-0.005752848099408496,2025-12-07 01:59:53.829920,2025-12-07 01:59:55.660583,0 days 00:00:01.830663,607.5345785673383,11,extensive,11,COMPLETE
160,-0.08998623064455924,2025-12-07 01:59:55.661717,2025-12-07 01:59:57.653164,0 days 00:00:01.991447,417.5800436310514,43,extensive,43,COMPLETE
161,0.001710890457039797,2025-12-07 01:59:57.654163,2025-12-07 01:59:59.461354,0 days 00:00:01.807191,775.4704388925227,2,extensive,2,COMPLETE
162,0.0008072694036777758,2025-12-07 01:59:59.462356,2025-12-07 02:00:01.377489,0 days 00:00:01.915133,716.1649941193384,1,extensive,1,COMPLETE
163,-0.03318955538444757,2025-12-07 02:00:01.378726,2025-12-07 02:00:03.457927,0 days 00:00:02.079201,570.9419957588012,17,extensive,17,COMPLETE
164,-0.0050578280140778364,2025-12-07 02:00:03.458575,2025-12-07 02:00:05.361330,0 days 00:00:01.902755,804.0897432183269,10,extensive,10,COMPLETE
165,-0.06158907129656436,2025-12-07 02:00:05.362492,2025-12-07 02:00:07.238674,0 days 00:00:01.876182,518.8988039307363,24,extensive,24,COMPLETE
166,0.0008904410255972847,2025-12-07 02:00:07.240179,2025-12-07 02:00:09.291613,0 days 00:00:02.051434,982.6116744464371,1,extensive,1,COMPLETE
167,-0.009787104845510783,2025-12-07 02:00:09.292815,2025-12-07 02:00:11.294545,0 days 00:00:02.001730,299.34376795660336,13,extensive,13,COMPLETE
168,-0.06044170738353286,2025-12-07 02:00:11.295713,2025-12-07 02:00:13.311589,0 days 00:00:02.015876,702.5895767522766,33,extensive,33,COMPLETE
169,-0.04215417498927706,2025-12-07 02:00:13.312829,2025-12-07 02:00:15.224278,0 days 00:00:01.911449,994.0629387541331,21,extensive,21,COMPLETE
170,0.00066706994728342,2025-12-07 02:00:15.224278,2025-12-07 02:00:17.095345,0 days 00:00:01.871067,458.63180149760797,1,extensive,1,COMPLETE
