number,value,datetime_start,datetime_complete,duration,params_feature_level,user_attrs_feature_level,state
83,-7.64101011520447,2025-12-04 20:18:13.687564,2025-12-04 20:18:13.815505,0 days 00:00:00.127941,none,none,COMPLETE
84,-7.64101011520447,2025-12-04 20:18:13.816508,2025-12-04 20:18:13.953224,0 days 00:00:00.136716,none,none,COMPLETE
85,-7.64101011520447,2025-12-04 20:18:13.953224,2025-12-04 20:18:14.088854,0 days 00:00:00.135630,none,none,COMPLETE
86,-7.64101011520447,2025-12-04 20:18:14.089855,2025-12-04 20:18:14.222414,0 days 00:00:00.132559,none,none,COMPLETE
87,-11.280007133069331,2025-12-04 20:18:14.223413,2025-12-04 20:18:14.684123,0 days 00:00:00.460710,simple2,simple2,COMPLETE
88,-7.64101011520447,2025-12-04 20:18:14.685121,2025-12-04 20:18:14.809269,0 days 00:00:00.124148,none,none,COMPLETE
89,-7.64101011520447,2025-12-04 20:18:14.809839,2025-12-04 20:18:14.940173,0 days 00:00:00.130334,none,none,COMPLETE
90,-9.96272628844387,2025-12-04 20:18:14.941172,2025-12-04 20:18:15.143133,0 days 00:00:00.201961,simple,simple,COMPLETE
91,-7.64101011520447,2025-12-04 20:18:15.144132,2025-12-04 20:18:15.272278,0 days 00:00:00.128146,none,none,COMPLETE
92,-7.64101011520447,2025-12-04 20:18:15.272278,2025-12-04 20:18:15.402342,0 days 00:00:00.130064,none,none,COMPLETE
93,-7.64101011520447,2025-12-04 20:18:15.403342,2025-12-04 20:18:15.530075,0 days 00:00:00.126733,none,none,COMPLETE
94,-7.64101011520447,2025-12-04 20:18:15.530075,2025-12-04 20:18:15.658214,0 days 00:00:00.128139,none,none,COMPLETE
95,-7.64101011520447,2025-12-04 20:18:15.659215,2025-12-04 20:18:15.783284,0 days 00:00:00.124069,none,none,COMPLETE
96,-7.64101011520447,2025-12-04 20:18:15.784787,2025-12-04 20:18:15.906414,0 days 00:00:00.121627,none,none,COMPLETE
97,-7.64101011520447,2025-12-04 20:18:15.907416,2025-12-04 20:18:16.044737,0 days 00:00:00.137321,none,none,COMPLETE
98,-21745751.799559038,2025-12-04 20:18:16.045741,2025-12-04 20:18:18.651498,0 days 00:00:02.605757,medium,medium,COMPLETE
99,-7.64101011520447,2025-12-04 20:18:18.652501,2025-12-04 20:18:18.838429,0 days 00:00:00.185928,none,none,COMPLETE
