number,value,datetime_start,datetime_complete,duration,params_feature_level,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
64,-0.00013936701229292728,2025-12-04 22:01:59.193140,2025-12-04 22:03:07.728724,0 days 00:01:08.535584,extensive,0.46403401638076924,0.001025126820032907,9,13,651,0.438685168325542,2.820173596699317,0.8768607590161832,extensive,COMPLETE
65,-0.00019906432402239105,2025-12-04 22:03:07.730725,2025-12-04 22:03:26.254199,0 days 00:00:18.523474,extensive,0.3205102983223448,0.0015997518536881791,8,11,330,0.8392715419084784,1.165930055135997,0.8540135311990498,extensive,COMPLETE
66,-0.02179403619512943,2025-12-04 22:03:26.255701,2025-12-04 22:04:31.992103,0 days 00:01:05.736402,medium,0.4326881261387651,0.00270645805260388,9,9,893,0.03288374851405698,0.839996079278312,0.8228267618024576,medium,COMPLETE
67,-0.0009470627425554786,2025-12-04 22:04:31.993103,2025-12-04 22:04:55.724074,0 days 00:00:23.730971,extensive,0.3003259254325688,0.0013399552347005486,10,7,1328,3.9382938670081167,0.634471469686239,0.8788845334052402,extensive,COMPLETE
68,0.00020688139622319449,2025-12-04 22:04:55.725582,2025-12-04 22:05:21.044657,0 days 00:00:25.319075,extensive,0.38623495141131786,0.0017153931872716229,9,8,324,0.6876176907459584,1.8445551447575455,0.8105586627810583,extensive,COMPLETE
69,-0.0010873255117281506,2025-12-04 22:05:21.046161,2025-12-04 22:06:47.603228,0 days 00:01:26.557067,extensive,0.3880176802816082,0.0017218767235964731,10,8,594,0.2515491812333182,1.8058913398261496,0.8121060324067542,extensive,COMPLETE
70,-0.00024894054197458865,2025-12-04 22:06:47.604776,2025-12-04 22:07:06.660281,0 days 00:00:19.055505,extensive,0.49019274538644864,0.003129501594823164,9,13,348,1.070153820225392,3.017178522508933,0.8528513375393306,extensive,COMPLETE
71,-0.00015460916853208642,2025-12-04 22:07:06.661281,2025-12-04 22:07:27.631064,0 days 00:00:20.969783,extensive,0.34902539249542924,0.0011809047146959454,9,9,301,0.724982963167984,1.1744780254572889,0.8374576220247284,extensive,COMPLETE
72,-0.00028432843941650354,2025-12-04 22:07:27.632063,2025-12-04 22:08:20.658897,0 days 00:00:53.026834,extensive,0.3802978656864125,0.0015313134600708988,8,12,842,0.5873723233373799,2.19757655741106,0.8152432088464308,extensive,COMPLETE
73,-0.0020240800713985005,2025-12-04 22:08:20.658897,2025-12-04 22:09:25.703074,0 days 00:01:05.044177,extensive,0.32817869231280716,0.002598543479340882,10,7,648,0.3991428954039593,1.3255037757942079,0.8691030654559544,extensive,COMPLETE
74,-0.0002997843210540048,2025-12-04 22:09:25.703577,2025-12-04 22:09:51.665573,0 days 00:00:25.961996,medium,0.404905772399211,0.0017958966026995014,9,6,964,0.9261630573036201,3.7889101421101543,0.7572852952323187,medium,COMPLETE
75,9.36523358973466e-05,2025-12-04 22:09:51.667076,2025-12-04 22:10:38.851503,0 days 00:00:47.184427,extensive,0.37077194326489055,0.001010330612558336,10,11,724,0.6920145691789874,2.4650066073985055,0.7323695641370362,extensive,COMPLETE
76,-0.00043919351318381467,2025-12-04 22:10:38.852503,2025-12-04 22:11:06.255853,0 days 00:00:27.403350,extensive,0.3734197372690068,0.0022328713817684987,10,11,713,1.1374452672262574,2.516447579412142,0.7314226381594474,extensive,COMPLETE
77,-0.00021227024560662353,2025-12-04 22:11:06.257363,2025-12-04 22:11:56.609492,0 days 00:00:50.352129,extensive,0.3401850455415764,0.001000607120779251,10,11,515,0.14910001500215708,1.5203212861389117,0.32077894009365693,extensive,COMPLETE
78,-0.00015235369746554225,2025-12-04 22:11:56.609994,2025-12-04 22:12:25.306559,0 days 00:00:28.696565,extensive,0.4464286927960508,0.0011377165143214272,10,15,291,0.5105993081235615,3.319863033347106,0.7708374761114856,extensive,COMPLETE
79,2.9776180616170045e-05,2025-12-04 22:12:25.309065,2025-12-04 22:13:01.885202,0 days 00:00:36.576137,extensive,0.40814704173372546,0.0013546624488743654,10,12,540,0.6662516812195011,2.0466250565842374,0.6217229505593332,extensive,COMPLETE
80,-0.0009470627425554786,2025-12-04 22:13:01.886202,2025-12-04 22:13:09.053546,0 days 00:00:07.167344,extensive,0.3494947165670902,0.0016377624307809399,10,13,204,3.3716784608544472,2.688096378198187,0.6665750761142165,extensive,COMPLETE
81,1.586341577486383e-05,2025-12-04 22:13:09.055546,2025-12-04 22:13:31.572825,0 days 00:00:22.517279,extensive,0.3113582400988481,0.0012906745876368213,9,9,390,0.7850324794462987,1.7991503582316022,0.8280143152321953,extensive,COMPLETE
82,-0.0007217485574325296,2025-12-04 22:13:31.574829,2025-12-04 22:14:52.430353,0 days 00:01:20.855524,extensive,0.36964035773636694,0.0014455563365721414,9,8,734,0.3333586801745438,1.3374896398242042,0.8999001774678975,extensive,COMPLETE
83,-0.00012207696560088502,2025-12-04 22:14:52.431354,2025-12-04 22:15:22.996444,0 days 00:00:30.565090,extensive,0.3957995182504855,0.0010898319957975944,9,10,597,0.8918248662422672,3.7722220760282483,0.7899080339055772,extensive,COMPLETE
84,2.334829940586758e-05,2025-12-04 22:15:22.997444,2025-12-04 22:16:14.887036,0 days 00:00:51.889592,extensive,0.3329089617133659,0.0012461996021421163,8,11,958,0.6827754051554231,2.3992187937083855,0.8438231645359204,extensive,COMPLETE
85,5.638967503185377e-05,2025-12-04 22:16:14.888598,2025-12-04 22:16:47.685299,0 days 00:00:32.796701,extensive,0.4257723068618695,0.001926931471319562,10,9,326,0.5049563942607809,3.1210823864350985,0.8086590688336687,extensive,COMPLETE
86,0.0006192986015039296,2025-12-04 22:16:47.686299,2025-12-04 22:17:04.737497,0 days 00:00:17.051198,medium,0.3504104222813695,0.0018999980337871707,10,14,318,0.46399563148869005,3.0485327949884766,0.8094184972209907,medium,COMPLETE
87,-0.0074167416794945025,2025-12-04 22:17:04.739497,2025-12-04 22:18:31.171524,0 days 00:01:26.432027,medium,0.3510506226930919,0.0022568522614906804,10,14,1212,0.17587457799322748,5.479960037274217,0.7612352610678468,medium,COMPLETE
88,-0.0002779053436537948,2025-12-04 22:18:31.172524,2025-12-04 22:18:59.426055,0 days 00:00:28.253531,medium,0.37661549927583,0.0028971257257339447,10,15,478,0.3577468612651314,1.6676553405940127,0.7415207759239206,medium,COMPLETE
89,0.00013480683978076927,2025-12-04 22:18:59.427055,2025-12-04 22:19:26.725497,0 days 00:00:27.298442,medium,0.34006101462672567,0.001713915567443763,10,14,677,0.5789091559616757,2.0328814870699556,0.7000617752170174,medium,COMPLETE
90,-0.000709708452143761,2025-12-04 22:19:26.726497,2025-12-04 22:19:33.222150,0 days 00:00:06.495653,medium,0.338875230550461,0.0024693158147834566,10,14,205,1.1888894800222864,3.830621493979777,0.7960979562516878,medium,COMPLETE
91,0.0002494109043444566,2025-12-04 22:19:33.223153,2025-12-04 22:20:00.738044,0 days 00:00:27.514891,medium,0.36333599745847817,0.0016612064233971948,10,13,673,0.5963864522184159,2.8926551071543405,0.6925884390330057,medium,COMPLETE
92,0.0007192782871967193,2025-12-04 22:20:00.739044,2025-12-04 22:20:19.244752,0 days 00:00:18.505708,medium,0.31454923529156387,0.001670172326574308,10,14,397,0.4570842824345497,2.0083513854990738,0.7017913342348783,medium,COMPLETE
93,0.00030695176735436497,2025-12-04 22:20:19.245753,2025-12-04 22:20:42.782689,0 days 00:00:23.536936,medium,0.315952598551717,0.0017163991178114383,10,13,375,0.28226930679168555,2.0197691197695886,0.683523511302162,medium,COMPLETE
94,2.1553135495048597e-05,2025-12-04 22:20:42.783689,2025-12-04 22:21:11.363026,0 days 00:00:28.579337,medium,0.3161580051006695,0.001808636705040762,10,15,416,0.09250833540279096,2.1041110223536283,0.7003987785494891,medium,COMPLETE
95,0.00021447575869896576,2025-12-04 22:21:11.364027,2025-12-04 22:21:55.277860,0 days 00:00:43.913833,medium,0.3990219346117792,0.0016622996323124182,10,13,665,0.2972420199536311,1.964511790614772,0.7116624691380088,medium,COMPLETE
96,-0.005661839882420787,2025-12-04 22:21:55.278860,2025-12-04 22:24:10.615924,0 days 00:02:15.337064,medium,0.3990819811511279,0.0014501840373964863,10,13,2284,0.3035261458134074,1.5914702850402198,0.6756774148539874,medium,COMPLETE
97,-0.0009470627425554786,2025-12-04 22:24:10.617924,2025-12-04 22:24:16.920303,0 days 00:00:06.302379,medium,0.33530708712114643,0.0017384192988331832,9,14,577,4.374611934062081,1.9478989452036959,0.6503447789783584,medium,COMPLETE
98,-0.0011849819700159674,2025-12-04 22:24:16.921305,2025-12-04 22:25:00.989394,0 days 00:00:44.068089,medium,0.4182665183750443,0.002416957115001253,10,14,810,0.4115091364353787,0.9486389072043725,0.7133724315049771,medium,COMPLETE
99,-0.0007356692394800598,2025-12-04 22:25:00.990898,2025-12-04 22:25:43.265281,0 days 00:00:42.274383,medium,0.44623950542052493,0.0019205623171432889,9,13,642,0.23006783487022625,2.95414877359943,0.588944029654181,medium,COMPLETE
