number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
68,-0.1284958934966566,2025-12-04 19:23:22.635850,2025-12-04 19:23:57.678872,0 days 00:00:35.043022,0.5647865212085328,0.06849002368146373,8,22,2168,82,0.01782778657403261,3.7025927727493113,0.7794208240918872,extensive,COMPLETE
69,-0.02186956680539794,2025-12-04 19:23:57.679872,2025-12-04 19:24:03.788497,0 days 00:00:06.108625,0.721798713724403,0.045900015566180924,6,16,1664,54,0.5357956687858944,2.612895317190419,0.8056994487731086,medium,COMPLETE
70,-0.00046791805376863077,2025-12-04 19:24:03.789500,2025-12-04 19:24:11.565979,0 days 00:00:07.776479,0.6341162581532331,0.041650674724640235,7,42,1267,46,1.2461104630809527,1.5699651760959477,0.7481274583788312,advanced,COMPLETE
71,-0.0002843062614543331,2025-12-04 19:24:11.566979,2025-12-04 19:24:20.336411,0 days 00:00:08.769432,0.6236818444959068,0.042371755072036804,7,45,1289,27,1.2159094147062497,1.5551304477800918,0.7492275147406178,extensive,COMPLETE
72,-0.0010035190264266654,2025-12-04 19:24:20.337916,2025-12-04 19:24:24.696857,0 days 00:00:04.358941,0.6238157801901999,0.0513704853514304,7,43,1285,18,1.4620804900599045,2.265216397285667,0.751818663978727,medium,COMPLETE
73,-0.00045418483621921063,2025-12-04 19:24:24.697857,2025-12-04 19:24:31.036989,0 days 00:00:06.339132,0.5899490891115822,0.03731086385135398,6,45,794,43,1.0202605120469004,1.1306235548579076,0.8258728526873417,advanced,COMPLETE
74,0.0001574937070923932,2025-12-04 19:24:31.037989,2025-12-04 19:24:38.447082,0 days 00:00:07.409093,0.5509148572679938,0.03149495870985399,6,45,927,29,1.0825625403429564,1.1272497467751423,0.8248090913455564,extensive,COMPLETE
75,-0.0034005498033851853,2025-12-04 19:24:38.448082,2025-12-04 19:24:42.361694,0 days 00:00:03.913612,0.528499529598536,0.0376420914547012,6,44,910,27,0.729249503676757,0.777220853931177,0.70430417858358,medium,COMPLETE
76,-0.000955945196895606,2025-12-04 19:24:42.362694,2025-12-04 19:24:48.513765,0 days 00:00:06.151071,0.5472163483093554,0.042429807572111525,6,47,804,37,1.7777797550340102,0.9850145339917354,0.7154922292062998,advanced,COMPLETE
77,-0.0009470627455911244,2025-12-04 19:24:48.514766,2025-12-04 19:24:54.965744,0 days 00:00:06.450978,0.5715411300635118,0.03237819979687566,5,39,665,31,2.6565398118514043,0.6237779139189157,0.7605225947769734,extensive,COMPLETE
78,-0.0010360287523727418,2025-12-04 19:24:54.967744,2025-12-04 19:24:58.979100,0 days 00:00:04.011356,0.5919344507510258,0.033334286605676465,7,46,1053,44,1.585466924058125,1.5604839926776108,0.6927556259430323,medium,COMPLETE
79,-0.0024562709228596416,2025-12-04 19:24:58.980103,2025-12-04 19:25:06.435489,0 days 00:00:07.455386,0.5119672725922012,0.03774498006975119,6,53,1162,19,0.8914466747892574,1.2459814161061522,0.745062290493404,advanced,COMPLETE
80,-0.0007633272711659403,2025-12-04 19:25:06.436490,2025-12-04 19:25:14.059406,0 days 00:00:07.622916,0.5430677684040404,0.028067418558707615,5,57,1015,24,1.3411019149493022,0.8770063247474369,0.779673111868303,extensive,COMPLETE
81,-0.0005195943874830208,2025-12-04 19:25:14.060909,2025-12-04 19:25:18.723897,0 days 00:00:04.662988,0.5567286966058314,0.03108918111256499,7,50,1381,32,1.0919330315358595,1.099919513213121,0.8775715115293119,medium,COMPLETE
82,-0.000460974453225127,2025-12-04 19:25:18.725399,2025-12-04 19:25:27.024961,0 days 00:00:08.299562,0.5565383456876175,0.03170641091096571,7,50,1378,30,1.064477474453199,1.363813207573228,0.9133009651877697,advanced,COMPLETE
83,-0.00043075411870704033,2025-12-04 19:25:27.026964,2025-12-04 19:25:35.444112,0 days 00:00:08.417148,0.583078554054997,0.024251935299134424,6,45,1214,23,1.2368793047301825,1.573331895755459,0.9225899858667106,extensive,COMPLETE
84,-0.0010004610659658149,2025-12-04 19:25:35.446112,2025-12-04 19:25:38.878897,0 days 00:00:03.432785,0.5819320414630395,0.024129763779074855,6,36,740,22,1.4856945890953361,1.2919814164106287,0.9306790237453263,medium,COMPLETE
85,-0.011176528529964461,2025-12-04 19:25:38.880399,2025-12-04 19:25:46.810110,0 days 00:00:07.929711,0.55905650402732,0.01720814458295857,6,52,963,38,0.6734186653433889,1.881873304037261,0.9746493928287344,advanced,COMPLETE
86,-0.00023642408219911223,2025-12-04 19:25:46.811613,2025-12-04 19:25:55.108077,0 days 00:00:08.296464,0.5744939407176903,0.021165587955752466,6,44,1145,28,1.0410961621826578,0.49121602538737924,0.9197719839301074,extensive,COMPLETE
87,-0.0009962795847537897,2025-12-04 19:25:55.109077,2025-12-04 19:25:58.658126,0 days 00:00:03.549049,0.5340999679933948,0.021007392219171847,5,46,829,29,1.680129823780823,0.4383837833415671,0.9628667305062246,medium,COMPLETE
