number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
82,-0.0006607556525153324,2025-12-04 20:37:03.742609,2025-12-04 20:37:12.653868,0 days 00:00:08.911259,medium,0.879542935362107,0.02724686575525827,8,22,3017,23,0.894021669674923,0.6915296827061245,0.5467340734388227,medium,COMPLETE
83,-0.0010113364778866856,2025-12-04 20:37:12.655868,2025-12-04 20:37:21.399928,0 days 00:00:08.744060,medium,0.8664485161545938,0.030433713941169456,8,22,2996,68,1.3757585270046002,1.4667986526454289,0.5260618662686315,medium,COMPLETE
84,-0.009362142519962665,2025-12-04 20:37:21.400929,2025-12-04 20:37:30.655037,0 days 00:00:09.254108,medium,0.8803562966326653,0.03556844399542599,7,19,3020,22,0.6658498717612484,1.8318839276733818,0.5933987989142127,medium,COMPLETE
85,-0.0009239825475254962,2025-12-04 20:37:30.656035,2025-12-04 20:37:40.574523,0 days 00:00:09.918488,medium,0.8311942001465996,0.027613662869914256,8,14,3641,27,1.1790870009688366,0.9363854542219162,0.5505587292288734,medium,COMPLETE
86,-0.019901915188319148,2025-12-04 20:37:40.575579,2025-12-04 20:37:51.028413,0 days 00:00:10.452834,medium,0.8523825493950831,0.015883201744574374,8,21,2707,34,0.5178091458484783,0.4266098742242473,0.5752104917551337,medium,COMPLETE
87,-0.0013812705027825463,2025-12-04 20:37:51.029417,2025-12-04 20:38:01.507405,0 days 00:00:10.477988,medium,0.9280763529198213,0.017559442669626973,10,25,3447,31,0.8778321221961464,1.142366273031529,0.5395204571179355,medium,COMPLETE
88,-0.0009701313455264445,2025-12-04 20:38:01.509912,2025-12-04 20:38:17.435572,0 days 00:00:15.925660,extensive,0.7311954522169174,0.019293534873110352,7,19,3114,25,1.0152460968977068,0.32437565346993874,0.5006104803780816,extensive,COMPLETE
89,-0.001043085366519536,2025-12-04 20:38:17.436572,2025-12-04 20:38:23.016550,0 days 00:00:05.579978,medium,0.9038388517616434,0.012247600269923505,11,28,1536,19,1.5458465419442444,0.7724987629941021,0.6849465625225003,medium,COMPLETE
90,-0.0009470627455911244,2025-12-04 20:38:23.017550,2025-12-04 20:38:31.482971,0 days 00:00:08.465421,medium,0.8744877395162713,0.02573325296586344,8,13,2873,60,2.762875824960451,0.2778916910281693,0.6218662545171041,medium,COMPLETE
91,-0.0003451764464778388,2025-12-04 20:38:31.483971,2025-12-04 20:38:41.092603,0 days 00:00:09.608632,medium,0.8930923143116614,0.023634010950003052,9,16,3266,16,0.885290634404643,0.6767924721872848,0.5663591382633015,medium,COMPLETE
92,-0.00552780704438649,2025-12-04 20:38:41.093604,2025-12-04 20:38:50.390731,0 days 00:00:09.297127,medium,0.8612122544698803,0.022759926892794515,9,51,2950,23,0.6944350542207703,0.4753576432285577,0.6532107828483686,medium,COMPLETE
93,-0.0007824254029234664,2025-12-04 20:38:50.391735,2025-12-04 20:38:59.649666,0 days 00:00:09.257931,medium,0.8394144331828454,0.0240553761342183,9,16,3294,19,1.1109753001180975,6.566828191259108,0.5469199242040977,medium,COMPLETE
94,-0.0021659891307848067,2025-12-04 20:38:59.650669,2025-12-04 20:39:08.578592,0 days 00:00:08.927923,medium,0.820919330220952,0.028680524994025066,10,18,3145,16,0.8110337085034083,0.6207230295656506,0.5696476520391225,medium,COMPLETE
95,-0.0008161006549911587,2025-12-04 20:39:08.580609,2025-12-04 20:39:18.821647,0 days 00:00:10.241038,medium,0.8971980515403862,0.013700422301672292,9,22,3551,22,1.207955623432119,8.553340736554036,0.5868525029008481,medium,COMPLETE
96,-0.051090288127944396,2025-12-04 20:39:18.822649,2025-12-04 20:39:31.746155,0 days 00:00:12.923506,medium,0.882645522426485,0.021193584455385817,3,14,3273,27,0.4288648801473527,0.8139937829622876,0.5290797696571964,medium,COMPLETE
97,-0.0006236067306336265,2025-12-04 20:39:31.748153,2025-12-04 20:39:42.180201,0 days 00:00:10.432048,medium,0.9601403366567568,0.019194326282865735,9,12,3402,30,0.9642643919045827,0.6987719065787229,0.7087747137461115,medium,COMPLETE
98,-0.0008763925509489567,2025-12-04 20:39:42.181202,2025-12-04 20:40:01.193012,0 days 00:00:19.011810,advanced,0.9576229110150416,0.03170681673225361,8,12,3411,29,1.3404945228837626,0.37897730232673355,0.7076223775237396,advanced,COMPLETE
99,-0.005638275329254909,2025-12-04 20:40:01.194013,2025-12-04 20:40:05.074857,0 days 00:00:03.880844,medium,0.9349165721116419,0.016884659019693538,9,23,476,18,0.7199574752267066,0.6660296728190584,0.5107223240819317,medium,COMPLETE
