number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
51,-0.0016559721404409238,2025-12-08 15:37:45.455056,2025-12-08 15:37:47.037713,0 days 00:00:01.582657,0.5253080232289258,0.024314158215947068,5,11,377,4.395986668756799,4.789918523591208,0.7613930873325899,extensive,final,xgb,pca_hybrid,True,COMPLETE
52,-0.0016559721404409238,2025-12-08 15:37:47.037713,2025-12-08 15:37:50.001290,0 days 00:00:02.963577,0.4907979653301034,0.04108012510263512,6,10,615,3.9187990201421297,4.300057159341535,0.8301510355640076,extensive,final,xgb,pca_hybrid,True,COMPLETE
53,-0.0016559721404409238,2025-12-08 15:37:50.003298,2025-12-08 15:37:53.828341,0 days 00:00:03.825043,0.4620946369410798,0.020498488463045597,4,9,890,4.648379861276268,2.652000901871286,0.520607613626186,extensive,final,xgb,pca_hybrid,True,COMPLETE
54,-0.0016559721404409238,2025-12-08 15:37:53.829344,2025-12-08 15:37:55.293743,0 days 00:00:01.464399,0.4309696287890273,0.02733848453334489,5,14,292,3.575766626483514,6.331541138776582,0.33504018339627506,extensive,final,xgb,pca_hybrid,True,COMPLETE
55,-0.0016559721404409238,2025-12-08 15:37:55.294149,2025-12-08 15:37:56.859282,0 days 00:00:01.565133,0.5590614510645799,0.03915460542981469,6,13,205,4.6747461627036095,0.14304375076252424,0.5580303311872873,extensive,final,xgb,pca_hybrid,True,COMPLETE
56,-0.0016559721404409238,2025-12-08 15:37:56.860421,2025-12-08 15:38:01.530311,0 days 00:00:04.669890,0.513344616769976,0.015049594357688927,3,19,1090,3.1344439062627827,3.008531771807818,0.452811783644023,extensive,final,xgb,pca_hybrid,True,COMPLETE
57,-0.001662027473087709,2025-12-08 15:38:01.530311,2025-12-08 15:38:05.022381,0 days 00:00:03.492070,0.375143599418861,0.020268656594941353,4,15,785,1.5215319363259023,8.934998832423343,0.40341298519501273,extensive,final,xgb,pca_hybrid,True,COMPLETE
58,-0.0016559721404409238,2025-12-08 15:38:05.023701,2025-12-08 15:38:07.632477,0 days 00:00:02.608776,0.5947141366603697,0.01238370800966164,7,12,585,4.996971353904784,1.6134069631677357,0.3000546141266269,extensive,final,xgb,pca_hybrid,True,COMPLETE
59,-0.0016559721404409238,2025-12-08 15:38:07.634084,2025-12-08 15:38:14.071199,0 days 00:00:06.437115,0.656127629074571,0.0016619566645888855,8,7,1562,3.4103563148939307,0.518722260387985,0.3646838344855882,extensive,final,xgb,pca_hybrid,True,COMPLETE
60,-0.007080290701266034,2025-12-08 15:38:14.072201,2025-12-08 15:38:37.678487,0 days 00:00:23.606286,0.5444058484119296,0.003625443582674352,5,17,2840,0.35431085432492315,13.531972609173797,0.6943708625351573,extensive,final,xgb,pca_hybrid,True,COMPLETE
61,-0.0016559721404409238,2025-12-08 15:38:37.678487,2025-12-08 15:38:39.555562,0 days 00:00:01.877075,0.8051799328632432,0.03418470232157603,9,16,475,2.3577338368495715,0.8009556381867429,0.3442454255848426,extensive,final,xgb,pca_hybrid,True,COMPLETE
