number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
94,-20484.97085411894,2025-12-08 12:32:24.572054,2025-12-08 12:32:25.963271,0 days 00:00:01.391217,extensive,final,ols,pca_hybrid,True,COMPLETE
95,-20672.69607628001,2025-12-08 12:32:25.963271,2025-12-08 12:32:27.408078,0 days 00:00:01.444807,extensive,final,ols,pca_hybrid,True,COMPLETE
96,-20453.806375315282,2025-12-08 12:32:27.408078,2025-12-08 12:32:28.816094,0 days 00:00:01.408016,extensive,final,ols,pca_hybrid,True,COMPLETE
97,-20357.651722670093,2025-12-08 12:32:28.816094,2025-12-08 12:32:30.217251,0 days 00:00:01.401157,extensive,final,ols,pca_hybrid,True,COMPLETE
98,-20764.46024204937,2025-12-08 12:32:30.217251,2025-12-08 12:32:31.572712,0 days 00:00:01.355461,extensive,final,ols,pca_hybrid,True,COMPLETE
99,-20716.083299547663,2025-12-08 12:32:31.572712,2025-12-08 12:32:32.941613,0 days 00:00:01.368901,extensive,final,ols,pca_hybrid,True,COMPLETE
100,-20364.89617508477,2025-12-08 12:32:32.941613,2025-12-08 12:32:34.337767,0 days 00:00:01.396154,extensive,final,ols,pca_hybrid,True,COMPLETE
101,-20078.773186295584,2025-12-08 12:32:34.337767,2025-12-08 12:32:35.783105,0 days 00:00:01.445338,extensive,final,ols,pca_hybrid,True,COMPLETE
102,-20606.60910933658,2025-12-08 12:32:35.783105,2025-12-08 12:32:37.184881,0 days 00:00:01.401776,extensive,final,ols,pca_hybrid,True,COMPLETE
103,-20612.79148160412,2025-12-08 12:32:37.184881,2025-12-08 12:32:38.588963,0 days 00:00:01.404082,extensive,final,ols,pca_hybrid,True,COMPLETE
104,-20570.96436447689,2025-12-08 12:32:38.590177,2025-12-08 12:32:39.955547,0 days 00:00:01.365370,extensive,final,ols,pca_hybrid,True,COMPLETE
105,-20900.91165623769,2025-12-08 12:32:39.955547,2025-12-08 12:32:41.297988,0 days 00:00:01.342441,extensive,final,ols,pca_hybrid,True,COMPLETE
106,-20679.114889124226,2025-12-08 12:32:41.297988,2025-12-08 12:32:42.622512,0 days 00:00:01.324524,extensive,final,ols,pca_hybrid,True,COMPLETE
107,-19994.819991556513,2025-12-08 12:32:42.622512,2025-12-08 12:32:44.018224,0 days 00:00:01.395712,extensive,final,ols,pca_hybrid,True,COMPLETE
108,-20060.098324804057,2025-12-08 12:32:44.018224,2025-12-08 12:32:45.438683,0 days 00:00:01.420459,extensive,final,ols,pca_hybrid,True,COMPLETE
109,-20319.254273525163,2025-12-08 12:32:45.438683,2025-12-08 12:32:46.798685,0 days 00:00:01.360002,extensive,final,ols,pca_hybrid,True,COMPLETE
110,-20385.191303293734,2025-12-08 12:32:46.798685,2025-12-08 12:32:48.202113,0 days 00:00:01.403428,extensive,final,ols,pca_hybrid,True,COMPLETE
111,-20463.66543039866,2025-12-08 12:32:48.202113,2025-12-08 12:32:49.555269,0 days 00:00:01.353156,extensive,final,ols,pca_hybrid,True,COMPLETE
112,-20707.37720336592,2025-12-08 12:32:49.555269,2025-12-08 12:32:51.038630,0 days 00:00:01.483361,extensive,final,ols,pca_hybrid,True,COMPLETE
113,-20175.318530233573,2025-12-08 12:32:51.038630,2025-12-08 12:32:52.369877,0 days 00:00:01.331247,extensive,final,ols,pca_hybrid,True,COMPLETE
114,-20348.703960817355,2025-12-08 12:32:52.370619,2025-12-08 12:32:53.782647,0 days 00:00:01.412028,extensive,final,ols,pca_hybrid,True,COMPLETE
115,-20596.569765515887,2025-12-08 12:32:53.782647,2025-12-08 12:32:55.186605,0 days 00:00:01.403958,extensive,final,ols,pca_hybrid,True,COMPLETE
116,-20617.898287735912,2025-12-08 12:32:55.186605,2025-12-08 12:32:56.590399,0 days 00:00:01.403794,extensive,final,ols,pca_hybrid,True,COMPLETE
117,-20456.83432322071,2025-12-08 12:32:56.590399,2025-12-08 12:32:57.972343,0 days 00:00:01.381944,extensive,final,ols,pca_hybrid,True,COMPLETE
118,-20549.293531284315,2025-12-08 12:32:57.973496,2025-12-08 12:32:59.364674,0 days 00:00:01.391178,extensive,final,ols,pca_hybrid,True,COMPLETE
119,-20663.916348532086,2025-12-08 12:32:59.364674,2025-12-08 12:33:00.766916,0 days 00:00:01.402242,extensive,final,ols,pca_hybrid,True,COMPLETE
120,-20261.446274413964,2025-12-08 12:33:00.766916,2025-12-08 12:33:02.154439,0 days 00:00:01.387523,extensive,final,ols,pca_hybrid,True,COMPLETE
121,-20690.42285466011,2025-12-08 12:33:02.154439,2025-12-08 12:33:03.574940,0 days 00:00:01.420501,extensive,final,ols,pca_hybrid,True,COMPLETE
122,-20654.373274215726,2025-12-08 12:33:03.574940,2025-12-08 12:33:04.924167,0 days 00:00:01.349227,extensive,final,ols,pca_hybrid,True,COMPLETE
123,-20932.387269252118,2025-12-08 12:33:04.924167,2025-12-08 12:33:06.249755,0 days 00:00:01.325588,extensive,final,ols,pca_hybrid,True,COMPLETE
124,-20587.414715963623,2025-12-08 12:33:06.249755,2025-12-08 12:33:07.608809,0 days 00:00:01.359054,extensive,final,ols,pca_hybrid,True,COMPLETE
125,-20378.94164558852,2025-12-08 12:33:07.609319,2025-12-08 12:33:08.943763,0 days 00:00:01.334444,extensive,final,ols,pca_hybrid,True,COMPLETE
126,-20440.07181997486,2025-12-08 12:33:08.943763,2025-12-08 12:33:10.297930,0 days 00:00:01.354167,extensive,final,ols,pca_hybrid,True,COMPLETE
127,-21228.397971309565,2025-12-08 12:33:10.297930,2025-12-08 12:33:11.642627,0 days 00:00:01.344697,extensive,final,ols,pca_hybrid,True,COMPLETE
128,-20248.442821030145,2025-12-08 12:33:11.642627,2025-12-08 12:33:13.023483,0 days 00:00:01.380856,extensive,final,ols,pca_hybrid,True,COMPLETE
129,-20989.249046687244,2025-12-08 12:33:13.024546,2025-12-08 12:33:14.361544,0 days 00:00:01.336998,extensive,final,ols,pca_hybrid,True,COMPLETE
130,-20566.408143372377,2025-12-08 12:33:14.361544,2025-12-08 12:33:15.673960,0 days 00:00:01.312416,extensive,final,ols,pca_hybrid,True,COMPLETE
131,-19880.212948909022,2025-12-08 12:33:15.673960,2025-12-08 12:33:17.023772,0 days 00:00:01.349812,extensive,final,ols,pca_hybrid,True,COMPLETE
132,-20592.258599201294,2025-12-08 12:33:17.024880,2025-12-08 12:33:18.473806,0 days 00:00:01.448926,extensive,final,ols,pca_hybrid,True,COMPLETE
133,-20302.388547413128,2025-12-08 12:33:18.473806,2025-12-08 12:33:19.863185,0 days 00:00:01.389379,extensive,final,ols,pca_hybrid,True,COMPLETE
134,-20689.176678946566,2025-12-08 12:33:19.863185,2025-12-08 12:33:21.203816,0 days 00:00:01.340631,extensive,final,ols,pca_hybrid,True,COMPLETE
135,-20790.087029238788,2025-12-08 12:33:21.203816,2025-12-08 12:33:22.557422,0 days 00:00:01.353606,extensive,final,ols,pca_hybrid,True,COMPLETE
136,-20379.54011129219,2025-12-08 12:33:22.558467,2025-12-08 12:33:23.911003,0 days 00:00:01.352536,extensive,final,ols,pca_hybrid,True,COMPLETE
137,-20277.09146428527,2025-12-08 12:33:23.911763,2025-12-08 12:33:25.270048,0 days 00:00:01.358285,extensive,final,ols,pca_hybrid,True,COMPLETE
138,-20272.227506316714,2025-12-08 12:33:25.270048,2025-12-08 12:33:26.623438,0 days 00:00:01.353390,extensive,final,ols,pca_hybrid,True,COMPLETE
139,-20884.827596255902,2025-12-08 12:33:26.623438,2025-12-08 12:33:27.991112,0 days 00:00:01.367674,extensive,final,ols,pca_hybrid,True,COMPLETE
140,-20443.528695210654,2025-12-08 12:33:27.991112,2025-12-08 12:33:29.347394,0 days 00:00:01.356282,extensive,final,ols,pca_hybrid,True,COMPLETE
141,-20879.77968126266,2025-12-08 12:33:29.347394,2025-12-08 12:33:30.690035,0 days 00:00:01.342641,extensive,final,ols,pca_hybrid,True,COMPLETE
142,-20346.917201815424,2025-12-08 12:33:30.690035,2025-12-08 12:33:32.058401,0 days 00:00:01.368366,extensive,final,ols,pca_hybrid,True,COMPLETE
143,-20399.973718924222,2025-12-08 12:33:32.059446,2025-12-08 12:33:33.456794,0 days 00:00:01.397348,extensive,final,ols,pca_hybrid,True,COMPLETE
144,-19883.781803568967,2025-12-08 12:33:33.456794,2025-12-08 12:33:34.850276,0 days 00:00:01.393482,extensive,final,ols,pca_hybrid,True,COMPLETE
145,-19579.877009051528,2025-12-08 12:33:34.852282,2025-12-08 12:33:36.251410,0 days 00:00:01.399128,extensive,final,ols,pca_hybrid,True,COMPLETE
146,-20759.80979532226,2025-12-08 12:33:36.251410,2025-12-08 12:33:37.641817,0 days 00:00:01.390407,extensive,final,ols,pca_hybrid,True,COMPLETE
147,-20559.901856501892,2025-12-08 12:33:37.643070,2025-12-08 12:33:39.043503,0 days 00:00:01.400433,extensive,final,ols,pca_hybrid,True,COMPLETE
148,-20411.415101065515,2025-12-08 12:33:39.043503,2025-12-08 12:33:40.410502,0 days 00:00:01.366999,extensive,final,ols,pca_hybrid,True,COMPLETE
149,-20862.21352599863,2025-12-08 12:33:40.411506,2025-12-08 12:33:41.786755,0 days 00:00:01.375249,extensive,final,ols,pca_hybrid,True,COMPLETE
150,-20147.042479534448,2025-12-08 12:33:41.786755,2025-12-08 12:33:43.157503,0 days 00:00:01.370748,extensive,final,ols,pca_hybrid,True,COMPLETE
151,-20604.961979267533,2025-12-08 12:33:43.159594,2025-12-08 12:33:44.541483,0 days 00:00:01.381889,extensive,final,ols,pca_hybrid,True,COMPLETE
