number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
54,-0.0014027490514338936,2025-12-08 13:44:57.085762,2025-12-08 13:45:07.604342,0 days 00:00:10.518580,0.6679478250751457,0.03627732265064326,6,1,814,1.7239733258692795,1.5448894095989694,0.6685753275230348,extensive,final,xgb,,False,COMPLETE
55,-0.012150891106614456,2025-12-08 13:45:07.604342,2025-12-08 13:45:23.585166,0 days 00:00:15.980824,0.7095393926290743,0.03518930611271292,7,1,809,1.1247108522105482,1.702214948403745,0.7086462660738845,extensive,final,xgb,,False,COMPLETE
56,-0.0016559721404409238,2025-12-08 13:45:23.587419,2025-12-08 13:45:33.169358,0 days 00:00:09.581939,0.6821100327164555,0.04245203303246896,6,2,768,2.9704188446018644,2.7847588002975443,0.6649836673238801,extensive,final,xgb,,False,COMPLETE
57,-0.0016559721404409238,2025-12-08 13:45:33.170626,2025-12-08 13:45:47.515776,0 days 00:00:14.345150,0.780428154020609,0.035277832960465036,8,6,1371,2.1297120840599604,0.3640531669265077,0.7545158493727268,extensive,final,xgb,,False,COMPLETE
58,-0.0039423737169391,2025-12-08 13:45:47.515776,2025-12-08 13:46:21.141261,0 days 00:00:33.625485,0.7460505606926159,0.026026754140408528,5,1,2960,1.4289523714822456,1.1508771669067892,0.677018899064874,extensive,final,xgb,,False,COMPLETE
59,-0.0016559721404409238,2025-12-08 13:46:21.142272,2025-12-08 13:46:41.773662,0 days 00:00:20.631390,0.6133539648925994,0.014820483165096227,9,2,2251,2.453469627496932,1.458594336287321,0.7942524111065011,extensive,final,xgb,,False,COMPLETE
60,-0.0017212548449175487,2025-12-08 13:46:41.774674,2025-12-08 13:46:48.407748,0 days 00:00:06.633074,0.5828121496511054,0.02005027470216503,6,3,446,1.7956296411121329,0.5321779783739865,0.8450049028238681,extensive,final,xgb,,False,COMPLETE
61,-0.0015373539043619748,2025-12-08 13:46:48.407748,2025-12-08 13:47:08.009186,0 days 00:00:19.601438,0.6634290999145446,0.041733764143292586,4,4,1951,1.6704774898730916,0.7905252297571521,0.6387540014938263,extensive,final,xgb,,False,COMPLETE
62,-0.0017066298473299806,2025-12-08 13:47:08.010187,2025-12-08 13:47:24.342821,0 days 00:00:16.332634,0.6663570785549102,0.04045776334636172,5,5,1616,2.011385772409311,0.7433638845095532,0.645790590394909,extensive,final,xgb,,False,COMPLETE
63,-0.01159622246092414,2025-12-08 13:47:24.344329,2025-12-08 13:47:46.610965,0 days 00:00:22.266636,0.6893704001439019,0.046269344770302534,4,2,1897,1.2367287633796877,1.0031786172741401,0.7419401589629688,extensive,final,xgb,,False,COMPLETE
64,-0.001594416849931483,2025-12-08 13:47:46.612479,2025-12-08 13:48:06.060966,0 days 00:00:19.448487,0.642523028102621,0.03261000329337408,4,3,1996,1.7046227910931422,2.1200384081898247,0.6050245164105746,extensive,final,xgb,,False,COMPLETE
65,-0.01946097371065081,2025-12-08 13:48:06.062471,2025-12-08 13:48:22.810862,0 days 00:00:16.748391,0.5539483900688567,0.036434220526508306,4,4,1029,1.0008579868286183,0.6337553995284271,0.6322224042142746,extensive,final,xgb,,False,COMPLETE
66,-0.0017630046417700385,2025-12-08 13:48:22.811860,2025-12-08 13:48:36.780070,0 days 00:00:13.968210,0.5964886773459953,0.020090131218154096,5,6,1137,1.4714494236040159,1.0509636361477217,0.6948912244996722,extensive,final,xgb,,False,COMPLETE
67,-0.0016559721404409238,2025-12-08 13:48:36.780070,2025-12-08 13:49:01.683956,0 days 00:00:24.903886,0.73002200959996,0.02652452201883103,4,1,2754,1.9525263273925608,1.4536557042345721,0.5488641098938517,extensive,final,xgb,,False,COMPLETE
68,-0.0015534354719281367,2025-12-08 13:49:01.685713,2025-12-08 13:49:22.671606,0 days 00:00:20.985893,0.6265418293113145,0.023120553853896962,5,10,2231,1.7808172374843765,0.8048005433680081,0.6135468918279408,extensive,final,xgb,,False,COMPLETE
69,-0.006772485170096247,2025-12-08 13:49:22.672610,2025-12-08 13:49:37.088098,0 days 00:00:14.415488,0.6663708503401762,0.04417745526646049,7,4,729,1.2610973304187634,2.6771240389228246,0.6792038540950861,extensive,final,xgb,,False,COMPLETE
70,-0.0016559721404409238,2025-12-08 13:49:37.090107,2025-12-08 13:49:53.442976,0 days 00:00:16.352869,0.7143482308579507,0.011720884037150409,4,3,1298,2.3820064967105066,0.544801383223212,0.6465405271977278,extensive,final,xgb,,False,COMPLETE
71,-0.0014696380744541049,2025-12-08 13:49:53.442976,2025-12-08 13:50:16.204840,0 days 00:00:22.761864,0.628191726470977,0.02330926508614055,5,15,2122,1.658507242490127,0.840687837642119,0.6070314463609232,extensive,final,xgb,,False,COMPLETE
72,-0.0016559721404409238,2025-12-08 13:50:16.205408,2025-12-08 13:50:37.723671,0 days 00:00:21.518263,0.6363077068062587,0.028313937672190252,6,19,2124,2.1900218948879817,0.6894219361074894,0.5867672338610502,extensive,final,xgb,,False,COMPLETE
73,-0.0019010962319397178,2025-12-08 13:50:37.725671,2025-12-08 13:51:06.989166,0 days 00:00:29.263495,0.6521966397101056,0.03243419988234248,5,15,2569,1.5112943683521176,1.828302708928791,0.5643904448995017,extensive,final,xgb,,False,COMPLETE
74,-0.0013891604484246312,2025-12-08 13:51:06.989166,2025-12-08 13:51:25.255779,0 days 00:00:18.266613,0.691051235770464,0.017855762515532406,6,19,1500,1.6849917934857253,1.3477566336670856,0.6661141048291037,extensive,final,xgb,,False,COMPLETE
75,-0.0016559721404409238,2025-12-08 13:51:25.256879,2025-12-08 13:51:40.743477,0 days 00:00:15.486598,0.69251733204261,0.01833762819456733,6,19,1483,2.7183951467070613,1.3385480554314324,0.6645482141279982,extensive,final,xgb,,False,COMPLETE
