number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
106,-3700.7747874568627,2025-12-08 12:25:47.662069,2025-12-08 12:25:48.995772,0 days 00:00:01.333703,extensive,final,ols,pca_only,True,COMPLETE
107,-3984.9277831376926,2025-12-08 12:25:48.998441,2025-12-08 12:25:50.335190,0 days 00:00:01.336749,extensive,final,ols,pca_only,True,COMPLETE
108,-4144.226771466328,2025-12-08 12:25:50.335190,2025-12-08 12:25:51.675849,0 days 00:00:01.340659,extensive,final,ols,pca_only,True,COMPLETE
109,-3716.129599069994,2025-12-08 12:25:51.677734,2025-12-08 12:25:52.977998,0 days 00:00:01.300264,extensive,final,ols,pca_only,True,COMPLETE
110,-4291.212380013884,2025-12-08 12:25:52.977998,2025-12-08 12:25:54.335555,0 days 00:00:01.357557,extensive,final,ols,pca_only,True,COMPLETE
111,-4109.764287703282,2025-12-08 12:25:54.335555,2025-12-08 12:25:55.676596,0 days 00:00:01.341041,extensive,final,ols,pca_only,True,COMPLETE
112,-3809.7891497846995,2025-12-08 12:25:55.676596,2025-12-08 12:25:57.011224,0 days 00:00:01.334628,extensive,final,ols,pca_only,True,COMPLETE
113,-4041.013112664427,2025-12-08 12:25:57.011224,2025-12-08 12:25:58.334905,0 days 00:00:01.323681,extensive,final,ols,pca_only,True,COMPLETE
114,-4151.739647071649,2025-12-08 12:25:58.335408,2025-12-08 12:25:59.692504,0 days 00:00:01.357096,extensive,final,ols,pca_only,True,COMPLETE
115,-3769.0020873156463,2025-12-08 12:25:59.692504,2025-12-08 12:26:01.011385,0 days 00:00:01.318881,extensive,final,ols,pca_only,True,COMPLETE
116,-4054.939555800888,2025-12-08 12:26:01.012777,2025-12-08 12:26:02.365015,0 days 00:00:01.352238,extensive,final,ols,pca_only,True,COMPLETE
117,-4202.015238105827,2025-12-08 12:26:02.366033,2025-12-08 12:26:03.678588,0 days 00:00:01.312555,extensive,final,ols,pca_only,True,COMPLETE
118,-4366.33306525482,2025-12-08 12:26:03.679846,2025-12-08 12:26:05.111542,0 days 00:00:01.431696,extensive,final,ols,pca_only,True,COMPLETE
119,-3857.045024471616,2025-12-08 12:26:05.112817,2025-12-08 12:26:06.445982,0 days 00:00:01.333165,extensive,final,ols,pca_only,True,COMPLETE
120,-4047.585311790124,2025-12-08 12:26:06.445982,2025-12-08 12:26:07.773445,0 days 00:00:01.327463,extensive,final,ols,pca_only,True,COMPLETE
121,-3331.203146989343,2025-12-08 12:26:07.773445,2025-12-08 12:26:09.093409,0 days 00:00:01.319964,extensive,final,ols,pca_only,True,COMPLETE
122,-3620.2195704448204,2025-12-08 12:26:09.094418,2025-12-08 12:26:10.445485,0 days 00:00:01.351067,extensive,final,ols,pca_only,True,COMPLETE
123,-4696.028262031584,2025-12-08 12:26:10.445989,2025-12-08 12:26:11.820623,0 days 00:00:01.374634,extensive,final,ols,pca_only,True,COMPLETE
124,-3620.147970852511,2025-12-08 12:26:11.820623,2025-12-08 12:26:13.177211,0 days 00:00:01.356588,extensive,final,ols,pca_only,True,COMPLETE
125,-3741.1434870079424,2025-12-08 12:26:13.177211,2025-12-08 12:26:14.529015,0 days 00:00:01.351804,extensive,final,ols,pca_only,True,COMPLETE
126,-3790.0258472403325,2025-12-08 12:26:14.530062,2025-12-08 12:26:15.911592,0 days 00:00:01.381530,extensive,final,ols,pca_only,True,COMPLETE
127,-4126.000005630228,2025-12-08 12:26:15.911592,2025-12-08 12:26:17.287712,0 days 00:00:01.376120,extensive,final,ols,pca_only,True,COMPLETE
128,-3708.001947656688,2025-12-08 12:26:17.287712,2025-12-08 12:26:18.631759,0 days 00:00:01.344047,extensive,final,ols,pca_only,True,COMPLETE
129,-4161.564726193311,2025-12-08 12:26:18.632292,2025-12-08 12:26:19.978498,0 days 00:00:01.346206,extensive,final,ols,pca_only,True,COMPLETE
130,-4106.894524095956,2025-12-08 12:26:19.979503,2025-12-08 12:26:21.305615,0 days 00:00:01.326112,extensive,final,ols,pca_only,True,COMPLETE
131,-3953.511738249028,2025-12-08 12:26:21.305615,2025-12-08 12:26:22.646332,0 days 00:00:01.340717,extensive,final,ols,pca_only,True,COMPLETE
132,-3865.4580746499155,2025-12-08 12:26:22.647370,2025-12-08 12:26:23.963079,0 days 00:00:01.315709,extensive,final,ols,pca_only,True,COMPLETE
133,-3415.6040109135897,2025-12-08 12:26:23.964138,2025-12-08 12:26:25.305904,0 days 00:00:01.341766,extensive,final,ols,pca_only,True,COMPLETE
134,-4088.285805647128,2025-12-08 12:26:25.305904,2025-12-08 12:26:26.645886,0 days 00:00:01.339982,extensive,final,ols,pca_only,True,COMPLETE
135,-3723.3209582927993,2025-12-08 12:26:26.646531,2025-12-08 12:26:27.963407,0 days 00:00:01.316876,extensive,final,ols,pca_only,True,COMPLETE
136,-3452.9974118169644,2025-12-08 12:26:27.964517,2025-12-08 12:26:29.306032,0 days 00:00:01.341515,extensive,final,ols,pca_only,True,COMPLETE
137,-4106.388221131486,2025-12-08 12:26:29.306536,2025-12-08 12:26:30.648340,0 days 00:00:01.341804,extensive,final,ols,pca_only,True,COMPLETE
