number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
105,-88878.30101188067,2025-12-08 12:39:14.887156,2025-12-08 12:39:16.098069,0 days 00:00:01.210913,extensive,final,ols,pca_block,True,COMPLETE
106,-88879.51199669357,2025-12-08 12:39:16.098069,2025-12-08 12:39:17.322672,0 days 00:00:01.224603,extensive,final,ols,pca_block,True,COMPLETE
107,-88876.97177047889,2025-12-08 12:39:17.322672,2025-12-08 12:39:18.546050,0 days 00:00:01.223378,extensive,final,ols,pca_block,True,COMPLETE
108,-88878.90602687384,2025-12-08 12:39:18.547053,2025-12-08 12:39:19.781193,0 days 00:00:01.234140,extensive,final,ols,pca_block,True,COMPLETE
109,-88877.8826849191,2025-12-08 12:39:19.782166,2025-12-08 12:39:21.014021,0 days 00:00:01.231855,extensive,final,ols,pca_block,True,COMPLETE
110,-88876.61613301678,2025-12-08 12:39:21.014021,2025-12-08 12:39:22.276138,0 days 00:00:01.262117,extensive,final,ols,pca_block,True,COMPLETE
111,-88880.10652096105,2025-12-08 12:39:22.276138,2025-12-08 12:39:23.580670,0 days 00:00:01.304532,extensive,final,ols,pca_block,True,COMPLETE
112,-88880.03358142561,2025-12-08 12:39:23.581721,2025-12-08 12:39:24.857502,0 days 00:00:01.275781,extensive,final,ols,pca_block,True,COMPLETE
113,-88877.97908619897,2025-12-08 12:39:24.857502,2025-12-08 12:39:26.115590,0 days 00:00:01.258088,extensive,final,ols,pca_block,True,COMPLETE
114,-88878.33583794117,2025-12-08 12:39:26.116675,2025-12-08 12:39:27.385344,0 days 00:00:01.268669,extensive,final,ols,pca_block,True,COMPLETE
115,-88879.12963773934,2025-12-08 12:39:27.385344,2025-12-08 12:39:28.597905,0 days 00:00:01.212561,extensive,final,ols,pca_block,True,COMPLETE
116,-88879.05622030392,2025-12-08 12:39:28.599440,2025-12-08 12:39:29.825790,0 days 00:00:01.226350,extensive,final,ols,pca_block,True,COMPLETE
117,-88884.88747657998,2025-12-08 12:39:29.825790,2025-12-08 12:39:31.048044,0 days 00:00:01.222254,extensive,final,ols,pca_block,True,COMPLETE
118,-88878.1969549493,2025-12-08 12:39:31.049483,2025-12-08 12:39:32.291429,0 days 00:00:01.241946,extensive,final,ols,pca_block,True,COMPLETE
119,-88878.58819110981,2025-12-08 12:39:32.291429,2025-12-08 12:39:33.531610,0 days 00:00:01.240181,extensive,final,ols,pca_block,True,COMPLETE
120,-88878.66883157466,2025-12-08 12:39:33.531610,2025-12-08 12:39:34.811893,0 days 00:00:01.280283,extensive,final,ols,pca_block,True,COMPLETE
121,-88883.75114914817,2025-12-08 12:39:34.811893,2025-12-08 12:39:36.065243,0 days 00:00:01.253350,extensive,final,ols,pca_block,True,COMPLETE
122,-88879.42357627164,2025-12-08 12:39:36.066290,2025-12-08 12:39:37.265088,0 days 00:00:01.198798,extensive,final,ols,pca_block,True,COMPLETE
123,-88877.46621982666,2025-12-08 12:39:37.265088,2025-12-08 12:39:38.514661,0 days 00:00:01.249573,extensive,final,ols,pca_block,True,COMPLETE
124,-88877.9191415431,2025-12-08 12:39:38.515119,2025-12-08 12:39:39.746634,0 days 00:00:01.231515,extensive,final,ols,pca_block,True,COMPLETE
