number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
80,-13824.098448418561,2025-12-08 13:02:02.232670,2025-12-08 13:02:04.746225,0 days 00:00:02.513555,88.96661760373374,extensive,final,ridge,pca_block,True,COMPLETE
81,-8.571765863594042,2025-12-08 13:02:04.747819,2025-12-08 13:02:07.137517,0 days 00:00:02.389698,744.2581715827625,extensive,final,ridge,pca_block,True,COMPLETE
82,-952.1444195440704,2025-12-08 13:02:07.139527,2025-12-08 13:02:09.521481,0 days 00:00:02.381954,379.41855843870655,extensive,final,ridge,pca_block,True,COMPLETE
83,-10.630096867091597,2025-12-08 13:02:09.521481,2025-12-08 13:02:11.916718,0 days 00:00:02.395237,710.8134246208172,extensive,final,ridge,pca_block,True,COMPLETE
84,-2919.8441862286436,2025-12-08 13:02:11.918730,2025-12-08 13:02:14.364417,0 days 00:00:02.445687,252.4650059355009,extensive,final,ridge,pca_block,True,COMPLETE
85,-88867.28730315024,2025-12-08 13:02:14.364417,2025-12-08 13:02:16.832880,0 days 00:00:02.468463,0.0006964408573883614,extensive,final,ridge,pca_block,True,COMPLETE
86,-10.14848219913559,2025-12-08 13:02:16.833675,2025-12-08 13:02:18.983219,0 days 00:00:02.149544,764.9766814654902,extensive,final,ridge,pca_block,True,COMPLETE
87,-77.83834394407742,2025-12-08 13:02:18.983219,2025-12-08 13:02:21.182924,0 days 00:00:02.199705,945.2053673791789,extensive,final,ridge,pca_block,True,COMPLETE
88,-640.1632136111951,2025-12-08 13:02:21.182924,2025-12-08 13:02:23.734153,0 days 00:00:02.551229,421.7948490988237,extensive,final,ridge,pca_block,True,COMPLETE
89,-6233.10226497846,2025-12-08 13:02:23.736161,2025-12-08 13:02:26.233423,0 days 00:00:02.497262,167.7336837459131,extensive,final,ridge,pca_block,True,COMPLETE
90,-570.0155447157697,2025-12-08 13:02:26.234592,2025-12-08 13:02:28.691437,0 days 00:00:02.456845,433.7934298323483,extensive,final,ridge,pca_block,True,COMPLETE
91,-8.777257835123656,2025-12-08 13:02:28.691437,2025-12-08 13:02:31.284707,0 days 00:00:02.593270,728.3674940177549,extensive,final,ridge,pca_block,True,COMPLETE
92,-9.605394372611244,2025-12-08 13:02:31.284707,2025-12-08 13:02:33.284679,0 days 00:00:01.999972,718.4165029863457,extensive,final,ridge,pca_block,True,COMPLETE
93,-2317.272117168902,2025-12-08 13:02:33.284679,2025-12-08 13:02:35.608651,0 days 00:00:02.323972,278.96866994410726,extensive,final,ridge,pca_block,True,COMPLETE
94,-10.486371248077932,2025-12-08 13:02:35.609671,2025-12-08 13:02:37.937042,0 days 00:00:02.327371,767.6521475905471,extensive,final,ridge,pca_block,True,COMPLETE
95,-93.39259193280024,2025-12-08 13:02:37.937042,2025-12-08 13:02:40.141985,0 days 00:00:02.204943,973.8100274182743,extensive,final,ridge,pca_block,True,COMPLETE
96,-88779.13112465612,2025-12-08 13:02:40.143504,2025-12-08 13:02:42.656995,0 days 00:00:02.513491,0.008742836533941584,extensive,final,ridge,pca_block,True,COMPLETE
97,-233.11153778970152,2025-12-08 13:02:42.659010,2025-12-08 13:02:45.085896,0 days 00:00:02.426886,518.0920149397006,extensive,final,ridge,pca_block,True,COMPLETE
98,-3931.2554556504433,2025-12-08 13:02:45.085896,2025-12-08 13:02:47.139133,0 days 00:00:02.053237,218.62354197424827,extensive,final,ridge,pca_block,True,COMPLETE
99,-1168.7165396616392,2025-12-08 13:02:47.141144,2025-12-08 13:02:49.519391,0 days 00:00:02.378247,356.8021198193277,extensive,final,ridge,pca_block,True,COMPLETE
100,-8972.384003443354,2025-12-08 13:02:49.520399,2025-12-08 13:02:51.834363,0 days 00:00:02.313964,129.8303401000903,extensive,final,ridge,pca_block,True,COMPLETE
101,-11.42062761007879,2025-12-08 13:02:51.834363,2025-12-08 13:02:54.122960,0 days 00:00:02.288597,706.2159446248312,extensive,final,ridge,pca_block,True,COMPLETE
102,-11.720319084435973,2025-12-08 13:02:54.125690,2025-12-08 13:02:56.455792,0 days 00:00:02.330102,775.8580752017219,extensive,final,ridge,pca_block,True,COMPLETE
103,-423.1255540380668,2025-12-08 13:02:56.457818,2025-12-08 13:02:58.850040,0 days 00:00:02.392222,463.48847876261664,extensive,final,ridge,pca_block,True,COMPLETE
104,-13.855682616680417,2025-12-08 13:02:58.850040,2025-12-08 13:03:00.894318,0 days 00:00:02.044278,787.2080079467889,extensive,final,ridge,pca_block,True,COMPLETE
105,-15.682827391393324,2025-12-08 13:03:00.894318,2025-12-08 13:03:03.867161,0 days 00:00:02.972843,795.3775169041855,extensive,final,ridge,pca_block,True,COMPLETE
106,-4698.045662030275,2025-12-08 13:03:03.869293,2025-12-08 13:03:06.441942,0 days 00:00:02.572649,198.66075437136973,extensive,final,ridge,pca_block,True,COMPLETE
107,-2131.0892568730656,2025-12-08 13:03:06.441942,2025-12-08 13:03:09.037862,0 days 00:00:02.595920,288.6021777406264,extensive,final,ridge,pca_block,True,COMPLETE
108,-429.03012097419577,2025-12-08 13:03:09.038860,2025-12-08 13:03:11.478372,0 days 00:00:02.439512,462.13470207583913,extensive,final,ridge,pca_block,True,COMPLETE
109,-25.320332652269638,2025-12-08 13:03:11.478372,2025-12-08 13:03:13.737448,0 days 00:00:02.259076,828.700021811634,extensive,final,ridge,pca_block,True,COMPLETE
110,-106.80745352172117,2025-12-08 13:03:13.737448,2025-12-08 13:03:15.655278,0 days 00:00:01.917830,997.6064784488265,extensive,final,ridge,pca_block,True,COMPLETE
111,-163.60830116082414,2025-12-08 13:03:15.655278,2025-12-08 13:03:17.507357,0 days 00:00:01.852079,547.2720880947668,extensive,final,ridge,pca_block,True,COMPLETE
112,-1442.4344900841609,2025-12-08 13:03:17.507357,2025-12-08 13:03:19.884387,0 days 00:00:02.377030,333.14296764865367,extensive,final,ridge,pca_block,True,COMPLETE
113,-8.831722995351072,2025-12-08 13:03:19.884387,2025-12-08 13:03:22.398036,0 days 00:00:02.513649,727.425142360476,extensive,final,ridge,pca_block,True,COMPLETE
114,-11.951863440241851,2025-12-08 13:03:22.398545,2025-12-08 13:03:24.897200,0 days 00:00:02.498655,703.5097366470433,extensive,final,ridge,pca_block,True,COMPLETE
115,-429.65706558797484,2025-12-08 13:03:24.898713,2025-12-08 13:03:27.474228,0 days 00:00:02.575515,461.9891354912104,extensive,final,ridge,pca_block,True,COMPLETE
116,-4777.613154080126,2025-12-08 13:03:27.476253,2025-12-08 13:03:30.007206,0 days 00:00:02.530953,196.7794198896578,extensive,final,ridge,pca_block,True,COMPLETE
117,-1535.169557748308,2025-12-08 13:03:30.007206,2025-12-08 13:03:31.960954,0 days 00:00:01.953748,326.0864954346685,extensive,final,ridge,pca_block,True,COMPLETE
118,-12.598166990431613,2025-12-08 13:03:31.962964,2025-12-08 13:03:34.492812,0 days 00:00:02.529848,700.5680652200326,extensive,final,ridge,pca_block,True,COMPLETE
119,-221.02307746615864,2025-12-08 13:03:34.492812,2025-12-08 13:03:37.109209,0 days 00:00:02.616397,522.6439705504807,extensive,final,ridge,pca_block,True,COMPLETE
120,-3163.9246059969096,2025-12-08 13:03:37.109209,2025-12-08 13:03:39.645054,0 days 00:00:02.535845,243.27882529414273,extensive,final,ridge,pca_block,True,COMPLETE
121,-11.369480075859384,2025-12-08 13:03:39.645054,2025-12-08 13:03:41.824179,0 days 00:00:02.179125,706.4935295648739,extensive,final,ridge,pca_block,True,COMPLETE
122,-102.57157616261513,2025-12-08 13:03:41.825179,2025-12-08 13:03:44.077478,0 days 00:00:02.252299,990.182768452493,extensive,final,ridge,pca_block,True,COMPLETE
123,-49.124419115504764,2025-12-08 13:03:44.077478,2025-12-08 13:03:46.528430,0 days 00:00:02.450952,628.9347004538887,extensive,final,ridge,pca_block,True,COMPLETE
124,-1282.0883841082846,2025-12-08 13:03:46.528430,2025-12-08 13:03:48.821327,0 days 00:00:02.292897,346.41555159714477,extensive,final,ridge,pca_block,True,COMPLETE
125,-319.6257936404794,2025-12-08 13:03:48.821327,2025-12-08 13:03:51.175819,0 days 00:00:02.354492,490.0185612547854,extensive,final,ridge,pca_block,True,COMPLETE
126,-8.681993189163283,2025-12-08 13:03:51.175819,2025-12-08 13:03:53.524623,0 days 00:00:02.348804,730.2861705015914,extensive,final,ridge,pca_block,True,COMPLETE
127,-8.697174308096209,2025-12-08 13:03:53.524623,2025-12-08 13:03:55.723419,0 days 00:00:02.198796,729.9643152208516,extensive,final,ridge,pca_block,True,COMPLETE
128,-790.3973725464049,2025-12-08 13:03:55.723419,2025-12-08 13:03:57.696946,0 days 00:00:01.973527,399.55255607264735,extensive,final,ridge,pca_block,True,COMPLETE
129,-101.27296840312688,2025-12-08 13:03:57.696946,2025-12-08 13:03:59.949289,0 days 00:00:02.252343,987.8771139913331,extensive,final,ridge,pca_block,True,COMPLETE
130,-9896.301070463936,2025-12-08 13:03:59.949289,2025-12-08 13:04:02.126967,0 days 00:00:02.177678,120.13032877403249,extensive,final,ridge,pca_block,True,COMPLETE
131,-33.87581371313399,2025-12-08 13:04:02.128976,2025-12-08 13:04:04.303944,0 days 00:00:02.174968,649.5766364169149,extensive,final,ridge,pca_block,True,COMPLETE
132,-9.269161104641661,2025-12-08 13:04:04.306040,2025-12-08 13:04:06.510368,0 days 00:00:02.204328,721.7108448832566,extensive,final,ridge,pca_block,True,COMPLETE
133,-291.0524341202534,2025-12-08 13:04:06.510368,2025-12-08 13:04:08.821635,0 days 00:00:02.311267,498.5371463100975,extensive,final,ridge,pca_block,True,COMPLETE
134,-9.931018246111407,2025-12-08 13:04:08.823809,2025-12-08 13:04:10.642747,0 days 00:00:01.818938,715.6897663652012,extensive,final,ridge,pca_block,True,COMPLETE
135,-2086.166542966301,2025-12-08 13:04:10.642747,2025-12-08 13:04:13.216667,0 days 00:00:02.573920,291.00760444932854,extensive,final,ridge,pca_block,True,COMPLETE
136,-856.6061592028286,2025-12-08 13:04:13.218360,2025-12-08 13:04:15.825189,0 days 00:00:02.606829,390.90782700709894,extensive,final,ridge,pca_block,True,COMPLETE
137,-3749.2747306402543,2025-12-08 13:04:15.827196,2025-12-08 13:04:18.526638,0 days 00:00:02.699442,223.97265125631958,extensive,final,ridge,pca_block,True,COMPLETE
138,-105.87879271442445,2025-12-08 13:04:18.526638,2025-12-08 13:04:21.496455,0 days 00:00:02.969817,579.7572741580387,extensive,final,ridge,pca_block,True,COMPLETE
139,-8.523063014620677,2025-12-08 13:04:21.498620,2025-12-08 13:04:24.163839,0 days 00:00:02.665219,742.0894451954935,extensive,final,ridge,pca_block,True,COMPLETE
140,-88543.24162067268,2025-12-08 13:04:24.165848,2025-12-08 13:04:26.795021,0 days 00:00:02.629173,0.031130116757821364,extensive,final,ridge,pca_block,True,COMPLETE
141,-99.68284974459819,2025-12-08 13:04:26.795839,2025-12-08 13:04:29.357052,0 days 00:00:02.561213,985.0925221584059,extensive,final,ridge,pca_block,True,COMPLETE
142,-9.76609883773538,2025-12-08 13:04:29.357052,2025-12-08 13:04:32.290160,0 days 00:00:02.933108,717.0036753369851,extensive,final,ridge,pca_block,True,COMPLETE
143,-312.22202409669416,2025-12-08 13:04:32.290160,2025-12-08 13:04:35.165257,0 days 00:00:02.875097,492.1839146790125,extensive,final,ridge,pca_block,True,COMPLETE
144,-1170.616401352933,2025-12-08 13:04:35.165257,2025-12-08 13:04:37.931397,0 days 00:00:02.766140,356.5987670775554,extensive,final,ridge,pca_block,True,COMPLETE
145,-8.623058000824205,2025-12-08 13:04:37.931397,2025-12-08 13:04:40.092798,0 days 00:00:02.161401,745.8381157160064,extensive,final,ridge,pca_block,True,COMPLETE
146,-191.89775156118154,2025-12-08 13:04:40.092798,2025-12-08 13:04:41.809164,0 days 00:00:01.716366,534.3926552877574,extensive,final,ridge,pca_block,True,COMPLETE
