number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
90,-0.0016559721242364045,2025-12-08 13:46:27.388769,2025-12-08 13:46:28.972192,0 days 00:00:01.583423,0.029060361282494895,0.8017910168268572,extensive,final,elastic,pca_hybrid,True,COMPLETE
91,-650.4569500028015,2025-12-08 13:46:28.972505,2025-12-08 13:46:30.557627,0 days 00:00:01.585122,0.004203023753428273,0.035089087757408335,extensive,final,elastic,pca_hybrid,True,COMPLETE
92,-0.0016559721242364045,2025-12-08 13:46:30.558629,2025-12-08 13:46:32.043452,0 days 00:00:01.484823,0.003417143496072412,0.48681133634305185,extensive,final,elastic,pca_hybrid,True,COMPLETE
93,-0.0016559721242364045,2025-12-08 13:46:32.043452,2025-12-08 13:46:33.577184,0 days 00:00:01.533732,0.01563246134338832,0.5657109428717838,extensive,final,elastic,pca_hybrid,True,COMPLETE
94,-0.0016559721242364045,2025-12-08 13:46:33.577695,2025-12-08 13:46:35.107661,0 days 00:00:01.529966,0.00212933380981405,0.6111607286309594,extensive,final,elastic,pca_hybrid,True,COMPLETE
95,-0.0016559721242364045,2025-12-08 13:46:35.108167,2025-12-08 13:46:36.640745,0 days 00:00:01.532578,0.005140445511664389,0.44878679109326663,extensive,final,elastic,pca_hybrid,True,COMPLETE
96,-0.0016559721242364045,2025-12-08 13:46:36.640745,2025-12-08 13:46:38.139899,0 days 00:00:01.499154,0.0014344141324504416,0.6739673935505652,extensive,final,elastic,pca_hybrid,True,COMPLETE
97,-0.0016559721242364045,2025-12-08 13:46:38.140686,2025-12-08 13:46:39.659113,0 days 00:00:01.518427,0.020035829296550924,0.5194971032908823,extensive,final,elastic,pca_hybrid,True,COMPLETE
98,-2210.1533898706625,2025-12-08 13:46:39.659113,2025-12-08 13:46:41.142021,0 days 00:00:01.482908,0.0002156056150621598,0.9214689962101095,extensive,final,elastic,pca_hybrid,True,COMPLETE
99,-0.0016559721242364045,2025-12-08 13:46:41.142021,2025-12-08 13:46:42.823615,0 days 00:00:01.681594,0.04196846884596173,0.33115620133829515,extensive,final,elastic,pca_hybrid,True,COMPLETE
100,-0.0016559721242364045,2025-12-08 13:46:42.823615,2025-12-08 13:46:44.425563,0 days 00:00:01.601948,0.0624951360609121,0.9955943040651288,extensive,final,elastic,pca_hybrid,True,COMPLETE
101,-0.0016559721242364045,2025-12-08 13:46:44.426473,2025-12-08 13:46:45.907553,0 days 00:00:01.481080,0.013737396354304416,0.1440963969636822,extensive,final,elastic,pca_hybrid,True,COMPLETE
102,-0.001766190630374161,2025-12-08 13:46:45.907553,2025-12-08 13:46:47.374955,0 days 00:00:01.467402,0.00840394691721034,0.09225035707364262,extensive,final,elastic,pca_hybrid,True,COMPLETE
103,-0.0016559721242364045,2025-12-08 13:46:47.374955,2025-12-08 13:46:48.923746,0 days 00:00:01.548791,0.01034237644944003,0.224130643329277,extensive,final,elastic,pca_hybrid,True,COMPLETE
104,-144.23868765522417,2025-12-08 13:46:48.923746,2025-12-08 13:46:50.691993,0 days 00:00:01.768247,0.006559633144896602,0.05937389047388062,extensive,final,elastic,pca_hybrid,True,COMPLETE
105,-0.0016559721242364045,2025-12-08 13:46:50.692993,2025-12-08 13:46:52.378284,0 days 00:00:01.685291,0.024385190466477323,0.04095009435656169,extensive,final,elastic,pca_hybrid,True,COMPLETE
106,-0.0016559721242364045,2025-12-08 13:46:52.378284,2025-12-08 13:46:53.856621,0 days 00:00:01.478337,0.0030283505467291237,0.749581693276498,extensive,final,elastic,pca_hybrid,True,COMPLETE
107,-193.41577444613077,2025-12-08 13:46:53.857867,2025-12-08 13:46:55.442293,0 days 00:00:01.584426,0.0010717590895900392,0.35570591384821165,extensive,final,elastic,pca_hybrid,True,COMPLETE
108,-889.060453018733,2025-12-08 13:46:55.443290,2025-12-08 13:46:57.109057,0 days 00:00:01.665767,0.0005575803016514027,0.2724546056163252,extensive,final,elastic,pca_hybrid,True,COMPLETE
109,-0.0016559721242364045,2025-12-08 13:46:57.110059,2025-12-08 13:46:58.593991,0 days 00:00:01.483932,0.004017308743785748,0.41329530881851906,extensive,final,elastic,pca_hybrid,True,COMPLETE
110,-2124.99210188842,2025-12-08 13:46:58.594534,2025-12-08 13:47:00.241302,0 days 00:00:01.646768,0.0004098593651472063,0.4724048538470186,extensive,final,elastic,pca_hybrid,True,COMPLETE
111,-0.0016559721242364045,2025-12-08 13:47:00.241302,2025-12-08 13:47:01.774381,0 days 00:00:01.533079,0.013811815080270927,0.9695054501746748,extensive,final,elastic,pca_hybrid,True,COMPLETE
112,-0.0016886848630384883,2025-12-08 13:47:01.774381,2025-12-08 13:47:03.305973,0 days 00:00:01.531592,0.0008946891800707642,0.9357560450068038,extensive,final,elastic,pca_hybrid,True,COMPLETE
113,-0.0016559721242364045,2025-12-08 13:47:03.305973,2025-12-08 13:47:04.926596,0 days 00:00:01.620623,0.0019888752123675014,0.945362764389129,extensive,final,elastic,pca_hybrid,True,COMPLETE
114,-0.0016559721242364045,2025-12-08 13:47:04.926596,2025-12-08 13:47:06.524743,0 days 00:00:01.598147,0.01948009672067422,0.184987252084832,extensive,final,elastic,pca_hybrid,True,COMPLETE
115,-0.0016559721242364045,2025-12-08 13:47:06.524743,2025-12-08 13:47:07.962713,0 days 00:00:01.437970,0.0023377465959568567,0.8672371977933097,extensive,final,elastic,pca_hybrid,True,COMPLETE
116,-0.0016559721242364045,2025-12-08 13:47:07.964030,2025-12-08 13:47:09.873794,0 days 00:00:01.909764,0.0505016149063543,0.8987490363099895,extensive,final,elastic,pca_hybrid,True,COMPLETE
