number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
95,-0.0016559721242364045,2025-12-08 13:14:32.895266,2025-12-08 13:14:35.278539,0 days 00:00:02.383273,6.2034699613921465,extensive,final,lasso,pca_only,True,COMPLETE
96,-0.0016559721242364045,2025-12-08 13:14:35.280240,2025-12-08 13:14:37.702666,0 days 00:00:02.422426,4.000698007773377,extensive,final,lasso,pca_only,True,COMPLETE
97,-0.0016559721242364045,2025-12-08 13:14:37.702666,2025-12-08 13:14:40.047390,0 days 00:00:02.344724,0.03493290002839401,extensive,final,lasso,pca_only,True,COMPLETE
98,-0.0016559721242364045,2025-12-08 13:14:40.047390,2025-12-08 13:14:42.294233,0 days 00:00:02.246843,0.02641272350515648,extensive,final,lasso,pca_only,True,COMPLETE
99,-0.0016559721242364045,2025-12-08 13:14:42.295485,2025-12-08 13:14:44.861134,0 days 00:00:02.565649,0.13266027416082857,extensive,final,lasso,pca_only,True,COMPLETE
100,-0.0016559721242364045,2025-12-08 13:14:44.861557,2025-12-08 13:14:46.827885,0 days 00:00:01.966328,0.3208326837044802,extensive,final,lasso,pca_only,True,COMPLETE
101,-0.0016559721242364045,2025-12-08 13:14:46.828670,2025-12-08 13:14:49.178335,0 days 00:00:02.349665,3.398265933881619,extensive,final,lasso,pca_only,True,COMPLETE
102,-0.0016559721242364045,2025-12-08 13:14:49.178840,2025-12-08 13:14:51.500428,0 days 00:00:02.321588,1.7901666855292773,extensive,final,lasso,pca_only,True,COMPLETE
103,-0.0016559721242364045,2025-12-08 13:14:51.500428,2025-12-08 13:14:53.547897,0 days 00:00:02.047469,8.339349413199177,extensive,final,lasso,pca_only,True,COMPLETE
104,-0.0016559721242364045,2025-12-08 13:14:53.547897,2025-12-08 13:14:55.732267,0 days 00:00:02.184370,9.728296198092748,extensive,final,lasso,pca_only,True,COMPLETE
105,-0.0016559721242364045,2025-12-08 13:14:55.732267,2025-12-08 13:14:57.714306,0 days 00:00:01.982039,6.578061330283137,extensive,final,lasso,pca_only,True,COMPLETE
106,-0.0016559721242364045,2025-12-08 13:14:57.714974,2025-12-08 13:14:59.946529,0 days 00:00:02.231555,0.006815407321100848,extensive,final,lasso,pca_only,True,COMPLETE
