number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
56,-0.0016931937697174753,2025-12-08 14:37:33.999172,2025-12-08 14:37:43.992848,0 days 00:00:09.993676,0.37938205030650424,0.003074578801996297,9,16,2443,0.958576780196545,1.555435797282551,0.3218364847982957,extensive,final,xgb,pca_only,True,COMPLETE
57,-0.0016529309050747898,2025-12-08 14:37:43.993884,2025-12-08 14:37:55.911369,0 days 00:00:11.917485,0.34482447449576936,0.0024003112109005683,9,19,3055,1.6306765207178648,2.1002344797306955,0.3481890310812039,extensive,final,xgb,pca_only,True,COMPLETE
58,-0.0016559721404409238,2025-12-08 14:37:55.912494,2025-12-08 14:38:07.598586,0 days 00:00:11.686092,0.30137216454518856,0.001099965453712349,9,19,3012,2.0086348716449516,2.1506605142988793,0.34092673432653237,extensive,final,xgb,pca_only,True,COMPLETE
59,-0.001958945158921477,2025-12-08 14:38:07.599588,2025-12-08 14:38:20.794539,0 days 00:00:13.194951,0.35199511298925407,0.002342754215213707,9,17,2237,0.6562079840474442,3.539494510096681,0.43236223765209914,extensive,final,xgb,pca_only,True,COMPLETE
60,-0.0016566927161298928,2025-12-08 14:38:20.794539,2025-12-08 14:38:31.447644,0 days 00:00:10.653105,0.3213867716127413,0.0014514907800203128,9,16,2730,1.3232620307607819,1.9570090380070344,0.30450411858794885,extensive,final,xgb,pca_only,True,COMPLETE
61,-0.0016538434815815961,2025-12-08 14:38:31.448747,2025-12-08 14:38:43.981076,0 days 00:00:12.532329,0.38319294836889134,0.0018329503073060403,10,18,3277,1.5956281817954794,0.8964278146966653,0.35959147589608975,extensive,final,xgb,pca_only,True,COMPLETE
62,-0.0016559721404409238,2025-12-08 14:38:43.981076,2025-12-08 14:38:55.714926,0 days 00:00:11.733850,0.4255353454160765,0.002523035302271069,10,18,3049,2.225953831368537,0.8410337911331169,0.35389885274959043,extensive,final,xgb,pca_only,True,COMPLETE
63,-0.001681988134921708,2025-12-08 14:38:55.716674,2025-12-08 14:39:09.636406,0 days 00:00:13.919732,0.337201651402142,0.0020054723656365483,9,19,3504,1.0706093261163918,0.5327286020881392,0.39537761259369203,extensive,final,xgb,pca_only,True,COMPLETE
64,-0.0016550324419897973,2025-12-08 14:39:09.636406,2025-12-08 14:39:22.499398,0 days 00:00:12.862992,0.3896350805848482,0.0016321171218475323,10,20,3308,1.5446412006910661,0.726145692337637,0.4137349770252745,extensive,final,xgb,pca_only,True,COMPLETE
65,-0.0016682183911759612,2025-12-08 14:39:22.499398,2025-12-08 14:39:34.050190,0 days 00:00:11.550792,0.4866819911741307,0.003917650368172239,8,17,2891,1.25464761294098,0.41694733962564046,0.3022625587961546,extensive,final,xgb,pca_only,True,COMPLETE
66,-0.0016559721404409238,2025-12-08 14:39:34.050190,2025-12-08 14:39:57.087062,0 days 00:00:23.036872,0.31585209374287326,0.001008676748375243,9,16,2444,1.9699527531294292,1.5947581107051851,0.3279083767759063,extensive,final,xgb,pca_only,True,COMPLETE
67,-0.0016557014385137532,2025-12-08 14:39:57.088068,2025-12-08 14:40:33.453534,0 days 00:00:36.365466,0.345541649896325,0.0013277640162386443,10,19,3762,1.672086790197376,1.1959866195117437,0.3783424675360065,extensive,final,xgb,pca_only,True,COMPLETE
