number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
72,-0.001261529934154515,2025-12-08 20:17:54.093637,2025-12-08 20:18:00.897693,0 days 00:00:06.804056,0.7789892938721675,0.09293827887112062,12,89,2908,80,1.5118998131056416,15.928063502744582,0.569511157887222,34,extensive,final,lgbm,,34,False,COMPLETE
73,-0.001829394224694436,2025-12-08 20:18:00.897693,2025-12-08 20:18:08.280138,0 days 00:00:07.382445,0.8401784276755331,0.08340886184342608,11,93,3313,88,1.0101581406192943,9.451020749628304,0.6136249247775623,43,extensive,final,lgbm,,43,False,COMPLETE
74,-0.001261529934154515,2025-12-08 20:18:08.282647,2025-12-08 20:18:16.275387,0 days 00:00:07.992740,0.8197846221850312,0.0813885430848714,12,97,2689,81,4.502088768291055,12.20851232774996,0.6298488483589095,55,extensive,final,lgbm,,55,False,COMPLETE
75,-0.0010839352011574154,2025-12-08 20:18:16.275387,2025-12-08 20:18:24.021277,0 days 00:00:07.745890,0.7514358423454045,0.01978226855154312,11,10,3557,78,1.2937696458664332,6.948376623376647,0.6008141665400044,49,extensive,final,lgbm,,49,False,COMPLETE
76,-0.0011402905396459494,2025-12-08 20:18:24.021277,2025-12-08 20:18:31.980044,0 days 00:00:07.958767,0.7521758220414958,0.01909250545080909,11,16,3502,85,1.3619617406675895,4.977511642498127,0.5989108809296286,51,extensive,final,lgbm,,51,False,COMPLETE
77,-0.0011651147853275479,2025-12-08 20:18:31.980044,2025-12-08 20:18:40.881018,0 days 00:00:08.900974,0.7954027611873049,0.025476957016893825,11,100,3383,78,1.231798579015339,7.047619740509097,0.5542687865222976,62,extensive,final,lgbm,,62,False,COMPLETE
78,-0.001261529934154515,2025-12-08 20:18:40.881018,2025-12-08 20:18:50.883402,0 days 00:00:10.002384,0.8642096430774204,0.010667518596505395,10,85,3197,75,1.7532372184237281,6.987722040263523,0.6764946691817347,71,extensive,final,lgbm,,71,False,COMPLETE
79,-0.006012561979214537,2025-12-08 20:18:50.883402,2025-12-08 20:18:58.924331,0 days 00:00:08.040929,0.7804076213966316,0.012086753726043415,12,90,3857,81,0.6271151170183152,19.466735931134405,0.5184327937405824,42,extensive,final,lgbm,,42,False,COMPLETE
80,-0.001261529934154515,2025-12-08 20:18:58.924331,2025-12-08 20:19:06.652886,0 days 00:00:07.728555,0.806490627203792,0.007247698101387061,11,94,3576,73,1.500968146977506,9.047378468931687,0.5871263420835474,49,extensive,final,lgbm,,49,False,COMPLETE
81,-0.0013873326542417797,2025-12-08 20:19:06.652886,2025-12-08 20:19:53.733108,0 days 00:00:47.080222,0.7567370209495349,0.008111938269110632,12,13,2428,79,1.1315866668554861,2.702504609401133,0.6500550428810237,144,extensive,final,lgbm,,144,False,COMPLETE
82,-0.0022427002829488395,2025-12-08 20:19:53.733108,2025-12-08 20:20:00.659270,0 days 00:00:06.926162,0.838135460500362,0.06945094116238155,10,17,2993,76,0.9392280482265605,14.862031754424551,0.6217535792273123,36,extensive,final,lgbm,,36,False,COMPLETE
83,-0.0010977118996769342,2025-12-08 20:20:00.659270,2025-12-08 20:20:07.487566,0 days 00:00:06.828296,0.8235012184766374,0.09087390409955531,11,10,3724,73,1.3127310739224924,10.766981711960936,0.5427401784805976,29,extensive,final,lgbm,,29,False,COMPLETE
84,-0.0010658282966011568,2025-12-08 20:20:07.487566,2025-12-08 20:20:14.518994,0 days 00:00:07.031428,0.873329411925498,0.09491573850721889,11,11,3742,95,1.291554435576936,11.156747103147271,0.5445329469471686,28,extensive,final,lgbm,,28,False,COMPLETE
