number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
74,-0.04201482108840802,2025-12-08 19:43:33.246147,2025-12-08 19:43:38.950094,0 days 00:00:05.703947,0.0001010106367303038,11,extensive,final,lasso,,11,False,COMPLETE
75,-0.03165446293950578,2025-12-08 19:43:38.950094,2025-12-08 19:43:44.650281,0 days 00:00:05.700187,0.00019836564670795996,8,extensive,final,lasso,,8,False,COMPLETE
76,0.0019720762238453204,2025-12-08 19:43:44.650281,2025-12-08 19:43:50.280072,0 days 00:00:05.629791,0.00014395642689273198,3,extensive,final,lasso,,3,False,COMPLETE
77,-0.014628551878239615,2025-12-08 19:43:50.280072,2025-12-08 19:43:55.961843,0 days 00:00:05.681771,0.0004056487307304117,7,extensive,final,lasso,,7,False,COMPLETE
78,0.0022269124229342685,2025-12-08 19:43:55.961843,2025-12-08 19:44:01.661771,0 days 00:00:05.699928,0.00022386721511010596,3,extensive,final,lasso,,3,False,COMPLETE
79,-0.0012615299666745461,2025-12-08 19:44:01.661771,2025-12-08 19:44:07.621365,0 days 00:00:05.959594,0.002039019632863218,15,extensive,final,lasso,,15,False,COMPLETE
80,-0.0012615299666745461,2025-12-08 19:44:07.621365,2025-12-08 19:44:13.326144,0 days 00:00:05.704779,0.0010549013742014563,3,extensive,final,lasso,,3,False,COMPLETE
81,0.0022237202513701202,2025-12-08 19:44:13.326144,2025-12-08 19:44:18.992641,0 days 00:00:05.666497,0.00022083744984847535,3,extensive,final,lasso,,3,False,COMPLETE
82,-0.02927902568909242,2025-12-08 19:44:18.992641,2025-12-08 19:44:24.669104,0 days 00:00:05.676463,0.00022021095615570483,9,extensive,final,lasso,,9,False,COMPLETE
83,0.000287115366523194,2025-12-08 19:44:24.669603,2025-12-08 19:44:30.290367,0 days 00:00:05.620764,0.0006115130671169509,3,extensive,final,lasso,,3,False,COMPLETE
84,0.0005493881200242745,2025-12-08 19:44:30.290367,2025-12-08 19:44:35.976265,0 days 00:00:05.685898,0.00023348315164568365,6,extensive,final,lasso,,6,False,COMPLETE
85,-0.016730989552911878,2025-12-08 19:44:35.976265,2025-12-08 19:44:41.608852,0 days 00:00:05.632587,0.00035997109655913916,10,extensive,final,lasso,,10,False,COMPLETE
86,-3.089710620804986e-05,2025-12-08 19:44:41.608852,2025-12-08 19:44:47.306084,0 days 00:00:05.697232,0.00015560463708514858,4,extensive,final,lasso,,4,False,COMPLETE
87,-0.00959876304438827,2025-12-08 19:44:47.306084,2025-12-08 19:44:52.966684,0 days 00:00:05.660600,0.0005031096176352315,7,extensive,final,lasso,,7,False,COMPLETE
88,0.0022149354205198923,2025-12-08 19:44:52.966684,2025-12-08 19:44:58.682413,0 days 00:00:05.715729,0.0002684437836107594,3,extensive,final,lasso,,3,False,COMPLETE
89,-0.0012615299666745461,2025-12-08 19:44:58.682413,2025-12-08 19:45:04.443576,0 days 00:00:05.761163,1.8766691308786212,18,extensive,final,lasso,,18,False,COMPLETE
90,0.0021383031365274307,2025-12-08 19:45:04.443576,2025-12-08 19:45:10.150047,0 days 00:00:05.706471,0.000309930188183898,3,extensive,final,lasso,,3,False,COMPLETE
91,0.0021799607492135166,2025-12-08 19:45:10.150047,2025-12-08 19:45:15.889410,0 days 00:00:05.739363,0.00028664869262703615,3,extensive,final,lasso,,3,False,COMPLETE
92,0.0011083159056075377,2025-12-08 19:45:15.889410,2025-12-08 19:45:21.608593,0 days 00:00:05.719183,0.0002485563040846511,5,extensive,final,lasso,,5,False,COMPLETE
93,-0.033479261541961416,2025-12-08 19:45:21.608593,2025-12-08 19:45:27.482834,0 days 00:00:05.874241,0.00018102397401885281,8,extensive,final,lasso,,8,False,COMPLETE
94,0.001308700023551368,2025-12-08 19:45:27.482834,2025-12-08 19:45:33.132488,0 days 00:00:05.649654,0.0004947885500568902,3,extensive,final,lasso,,3,False,COMPLETE
95,-0.0041303515555989765,2025-12-08 19:45:33.132488,2025-12-08 19:45:38.883703,0 days 00:00:05.751215,0.0006826914883999364,11,extensive,final,lasso,,11,False,COMPLETE
96,-0.026836124420459774,2025-12-08 19:45:38.883703,2025-12-08 19:45:45.282684,0 days 00:00:06.398981,0.00038858466585764184,44,extensive,final,lasso,,44,False,COMPLETE
97,0.0004853031147537878,2025-12-08 19:45:45.282684,2025-12-08 19:45:50.979839,0 days 00:00:05.697155,0.0002295327156876992,6,extensive,final,lasso,,6,False,COMPLETE
98,0.001872545040333562,2025-12-08 19:45:50.979839,2025-12-08 19:45:56.936699,0 days 00:00:05.956860,0.0003066888327850925,2,extensive,final,lasso,,2,False,COMPLETE
99,-0.04887513312621237,2025-12-08 19:45:56.936699,2025-12-08 19:46:02.682547,0 days 00:00:05.745848,0.00017126824399542925,13,extensive,final,lasso,,13,False,COMPLETE
