number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
58,-0.04175224796353101,2025-12-08 19:51:55.492740,2025-12-08 19:52:01.353295,0 days 00:00:05.860555,0.00020493399907706996,0.4552945922960603,10,extensive,final,elastic,,10,False,COMPLETE
59,-3.6695622357750777,2025-12-08 19:52:01.353295,2025-12-08 19:52:07.462189,0 days 00:00:06.108894,2.6402086910509533e-05,0.6046592119376731,35,extensive,final,elastic,,35,False,COMPLETE
60,0.0022300781318128405,2025-12-08 19:52:07.462189,2025-12-08 19:52:13.161841,0 days 00:00:05.699652,0.0003835280936182824,0.6659141601976933,3,extensive,final,elastic,,3,False,COMPLETE
61,0.001678156160406652,2025-12-08 19:52:13.161841,2025-12-08 19:52:18.849087,0 days 00:00:05.687246,0.0004412294262587868,0.718190119475215,4,extensive,final,elastic,,4,False,COMPLETE
62,-0.03144776091839365,2025-12-08 19:52:18.849087,2025-12-08 19:52:24.541610,0 days 00:00:05.692523,0.00030348005469096423,0.6568367948891575,7,extensive,final,elastic,,7,False,COMPLETE
63,0.002033530947952511,2025-12-08 19:52:24.542052,2025-12-08 19:52:30.249205,0 days 00:00:05.707153,0.0006703954659429307,0.5229748710990527,3,extensive,final,elastic,,3,False,COMPLETE
64,-0.047069709289982865,2025-12-08 19:52:30.249205,2025-12-08 19:52:35.961985,0 days 00:00:05.712780,0.0001248532057983907,0.5164287631588863,12,extensive,final,elastic,,12,False,COMPLETE
65,-0.00027847860554932604,2025-12-08 19:52:35.961985,2025-12-08 19:52:41.649313,0 days 00:00:05.687328,0.0015315663890156058,0.43418182584787485,3,extensive,final,elastic,,3,False,COMPLETE
66,-0.015663087409175748,2025-12-08 19:52:41.649313,2025-12-08 19:52:47.359261,0 days 00:00:05.709948,0.0006735611730451429,0.582513015233417,8,extensive,final,elastic,,8,False,COMPLETE
67,0.0020958036184253403,2025-12-08 19:52:47.359261,2025-12-08 19:52:53.062165,0 days 00:00:05.702904,0.00019689376819872304,0.5152229741510294,1,extensive,final,elastic,,1,False,COMPLETE
68,0.0021483840171633074,2025-12-08 19:52:53.062165,2025-12-08 19:52:58.712062,0 days 00:00:05.649897,0.0003967042357412558,0.4135618462457477,1,extensive,final,elastic,,1,False,COMPLETE
69,-0.38558995032164023,2025-12-08 19:52:58.712062,2025-12-08 19:53:05.030231,0 days 00:00:06.318169,0.0004079750872483641,0.3271311523197143,42,extensive,final,elastic,,42,False,COMPLETE
70,-0.012535406485568057,2025-12-08 19:53:05.030231,2025-12-08 19:53:10.894000,0 days 00:00:05.863769,0.0008872227869466823,0.5271831590846833,15,extensive,final,elastic,,15,False,COMPLETE
71,0.0020881016230750228,2025-12-08 19:53:10.894000,2025-12-08 19:53:16.599724,0 days 00:00:05.705724,0.0002497898469578471,0.3855859940941654,1,extensive,final,elastic,,1,False,COMPLETE
72,0.0021021589618342995,2025-12-08 19:53:16.599724,2025-12-08 19:53:22.249218,0 days 00:00:05.649494,0.00027462532723216234,0.3854526690283372,1,extensive,final,elastic,,1,False,COMPLETE
73,-0.0028227024164124035,2025-12-08 19:53:22.250796,2025-12-08 19:53:27.941910,0 days 00:00:05.691114,0.00026030149775940536,0.3666490188854102,6,extensive,final,elastic,,6,False,COMPLETE
