number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
53,-0.00158585060873014,2025-12-07 18:22:51.082014,2025-12-07 18:22:52.956337,0 days 00:00:01.874323,0.5474367653554761,0.05856842772970707,5,44,314,115,1.4707808190467164,0.13548335321115482,0.7518954366327268,medium,COMPLETE
54,-0.0037203853265757405,2025-12-07 18:22:52.958340,2025-12-07 18:22:55.512563,0 days 00:00:02.554223,0.52694461237577,0.0598709750125455,5,47,763,115,1.1294186092812728,0.10102373753219748,0.7490569538928545,medium,COMPLETE
55,-0.0016559720935109083,2025-12-07 18:22:55.512563,2025-12-07 18:22:57.443097,0 days 00:00:01.930534,0.5925841345623221,0.08525620225855292,5,28,401,70,1.8962412481989737,0.1373507607286275,0.7800618040009204,medium,COMPLETE
56,-0.01831117230309524,2025-12-07 18:22:57.444511,2025-12-07 18:23:02.601404,0 days 00:00:05.156893,0.5401873929688584,0.0703853620812423,7,43,2363,126,0.751614816431161,0.31639511966016093,0.8209372618385414,medium,COMPLETE
57,-0.0016559720935109083,2025-12-07 18:23:02.601404,2025-12-07 18:23:05.627038,0 days 00:00:03.025634,0.5703670686685328,0.0627954199854732,8,22,1083,119,2.2089025683731407,0.14756253664425872,0.8559386377938095,medium,COMPLETE
58,-0.0016078768042818343,2025-12-07 18:23:05.627038,2025-12-07 18:23:08.291132,0 days 00:00:02.664094,0.6051462323495286,0.08590833677011485,6,35,775,116,1.6034511029611496,0.5486555759521841,0.6882232331299647,medium,COMPLETE
59,-0.03995151412229151,2025-12-07 18:23:08.292634,2025-12-07 18:23:11.008666,0 days 00:00:02.716032,0.6658663343690602,0.04532095923915045,5,42,355,106,0.4816616861723708,0.19678494571410307,0.9122734565526324,medium,COMPLETE
60,-0.004636586479899581,2025-12-07 18:23:11.010264,2025-12-07 18:23:15.771610,0 days 00:00:04.761346,0.6998836148312887,0.06585904412695354,3,51,1968,122,1.0416721830011353,0.16213168114713675,0.7972660868434023,medium,COMPLETE
61,-0.0015917947624994138,2025-12-07 18:23:15.771610,2025-12-07 18:23:18.892196,0 days 00:00:03.120586,0.5535838300541543,0.08873233821461166,4,61,269,109,1.4664243674766786,0.24464367570830733,0.742694280148313,medium,COMPLETE
62,-0.0017149538697256068,2025-12-07 18:23:18.892196,2025-12-07 18:23:20.993473,0 days 00:00:02.101277,0.5615245479421686,0.08883678156544625,5,58,495,111,1.3298765132758639,0.12261320955067148,0.7362013602054088,medium,COMPLETE
63,-0.0016127132239017368,2025-12-07 18:23:20.993473,2025-12-07 18:23:22.812486,0 days 00:00:01.819013,0.5876110186634902,0.07777224157170948,4,46,290,114,1.6023892401808124,0.2643095773645945,0.763610895054257,medium,COMPLETE
64,-0.0016559720935109083,2025-12-07 18:23:22.812486,2025-12-07 18:23:25.149110,0 days 00:00:02.336624,0.6302511614979328,0.021527359627285986,3,37,645,117,2.1145134005419863,0.4577387187833499,0.8019420436444107,medium,COMPLETE
65,-0.0015850281122195369,2025-12-07 18:23:25.149110,2025-12-07 18:23:29.868573,0 days 00:00:04.719463,0.5318391538131542,0.09142757809556157,4,50,2116,111,1.3767143339948613,8.756879984408016,0.8317218495425764,medium,COMPLETE
66,-0.0016192202631875412,2025-12-07 18:23:29.868573,2025-12-07 18:23:32.502903,0 days 00:00:02.634330,0.5144513369968393,0.05765408558212809,4,51,887,101,1.364029848802737,0.34323334767398894,0.8341643120552286,medium,COMPLETE
67,-0.0016559720935109083,2025-12-07 18:23:32.502903,2025-12-07 18:23:36.647057,0 days 00:00:04.144154,0.5373066977796846,0.0940387351360177,5,40,1803,120,1.7652592273007388,9.449780812941027,0.9287514747034955,medium,COMPLETE
68,-0.006243010685643702,2025-12-07 18:23:36.648397,2025-12-07 18:23:41.347571,0 days 00:00:04.699174,0.5584843137843096,0.07469245210453722,3,55,2099,108,0.9527644577162355,0.20186966454534078,0.7800653031850056,medium,COMPLETE
69,-0.0016559720935109083,2025-12-07 18:23:41.349760,2025-12-07 18:23:44.702850,0 days 00:00:03.353090,0.50540267911374,0.0891783280551799,4,45,1331,110,2.3268229150740742,19.37753719826352,0.7414025259517156,medium,COMPLETE
70,-0.05857777046421497,2025-12-07 18:23:44.702850,2025-12-07 18:23:47.766658,0 days 00:00:03.063808,0.5264872741343833,0.0654150651221313,5,49,431,115,0.32918632458988517,0.13259252342553665,0.8880168511852186,medium,COMPLETE
71,-0.0015950921166408467,2025-12-07 18:23:47.766658,2025-12-07 18:23:52.732850,0 days 00:00:04.966192,0.5767892177871521,0.07980724909571452,4,77,2258,112,1.4927630355708437,7.492757059638952,0.6920973150887744,medium,COMPLETE
72,-0.0026025687017167862,2025-12-07 18:23:52.732850,2025-12-07 18:23:58.200152,0 days 00:00:05.467302,0.5506947607465145,0.09358535552275436,5,84,2526,105,1.246795828346478,5.556382671251338,0.6699763104274402,medium,COMPLETE
73,-0.0016559720935109083,2025-12-07 18:23:58.201681,2025-12-07 18:24:02.046516,0 days 00:00:03.844835,0.6009503693822688,0.005198803007020743,7,37,1553,128,1.7009786251659669,11.064449134306225,0.6420732645270754,medium,COMPLETE
74,-0.004514073497199418,2025-12-07 18:24:02.048095,2025-12-07 18:24:03.801586,0 days 00:00:01.753491,0.5399095805424196,0.07190035785833805,8,42,208,111,1.1250953924683886,0.279412109710862,0.7236205898535235,medium,COMPLETE
75,-0.001586883870262179,2025-12-07 18:24:03.801586,2025-12-07 18:24:05.998252,0 days 00:00:02.196666,0.5716034135152582,0.08211763019989228,4,65,530,117,1.368835252683698,1.1393856679083563,0.8202215940330743,medium,COMPLETE
