number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
164,-428311532.9632318,2025-12-07 15:49:34.124778,2025-12-07 15:49:36.291334,0 days 00:00:02.166556,medium,COMPLETE
165,-428311532.9632318,2025-12-07 15:49:36.291334,2025-12-07 15:49:38.442902,0 days 00:00:02.151568,medium,COMPLETE
166,-428311532.9632318,2025-12-07 15:49:38.443908,2025-12-07 15:49:40.574272,0 days 00:00:02.130364,medium,COMPLETE
167,-428311532.9632318,2025-12-07 15:49:40.574272,2025-12-07 15:49:42.753721,0 days 00:00:02.179449,medium,COMPLETE
168,-428311532.9632318,2025-12-07 15:49:42.753721,2025-12-07 15:49:44.908062,0 days 00:00:02.154341,medium,COMPLETE
169,-428311532.9632318,2025-12-07 15:49:44.908062,2025-12-07 15:49:47.057009,0 days 00:00:02.148947,medium,COMPLETE
170,-428311532.9632318,2025-12-07 15:49:47.057009,2025-12-07 15:49:49.211875,0 days 00:00:02.154866,medium,COMPLETE
171,-428311532.9632318,2025-12-07 15:49:49.211875,2025-12-07 15:49:51.373816,0 days 00:00:02.161941,medium,COMPLETE
172,-428311532.9632318,2025-12-07 15:49:51.373816,2025-12-07 15:49:53.556893,0 days 00:00:02.183077,medium,COMPLETE
173,-428311532.9632318,2025-12-07 15:49:53.556893,2025-12-07 15:49:55.598380,0 days 00:00:02.041487,medium,COMPLETE
174,-428311532.9632318,2025-12-07 15:49:55.600428,2025-12-07 15:49:57.806519,0 days 00:00:02.206091,medium,COMPLETE
175,-428311532.9632318,2025-12-07 15:49:57.806519,2025-12-07 15:49:59.963432,0 days 00:00:02.156913,medium,COMPLETE
176,-428311532.9632318,2025-12-07 15:49:59.965020,2025-12-07 15:50:02.190046,0 days 00:00:02.225026,medium,COMPLETE
177,-428311532.9632318,2025-12-07 15:50:02.190046,2025-12-07 15:50:04.345967,0 days 00:00:02.155921,medium,COMPLETE
178,-428311532.9632318,2025-12-07 15:50:04.345967,2025-12-07 15:50:06.555035,0 days 00:00:02.209068,medium,COMPLETE
179,-428311532.9632318,2025-12-07 15:50:06.555035,2025-12-07 15:50:08.725583,0 days 00:00:02.170548,medium,COMPLETE
180,-428311532.9632318,2025-12-07 15:50:08.725583,2025-12-07 15:50:10.891629,0 days 00:00:02.166046,medium,COMPLETE
181,-428311532.9632318,2025-12-07 15:50:10.891629,2025-12-07 15:50:13.073494,0 days 00:00:02.181865,medium,COMPLETE
182,-428311532.9632318,2025-12-07 15:50:13.073494,2025-12-07 15:50:15.319791,0 days 00:00:02.246297,medium,COMPLETE
183,-428311532.9632318,2025-12-07 15:50:15.319791,2025-12-07 15:50:17.541670,0 days 00:00:02.221879,medium,COMPLETE
184,-428311532.9632318,2025-12-07 15:50:17.543738,2025-12-07 15:50:19.981842,0 days 00:00:02.438104,medium,COMPLETE
185,-428311532.9632318,2025-12-07 15:50:19.981842,2025-12-07 15:50:22.429267,0 days 00:00:02.447425,medium,COMPLETE
186,-428311532.9632318,2025-12-07 15:50:22.429267,2025-12-07 15:50:24.881886,0 days 00:00:02.452619,medium,COMPLETE
187,-428311532.9632318,2025-12-07 15:50:24.881886,2025-12-07 15:50:27.358288,0 days 00:00:02.476402,medium,COMPLETE
188,-428311532.9632318,2025-12-07 15:50:27.358288,2025-12-07 15:50:29.639507,0 days 00:00:02.281219,medium,COMPLETE
189,-428311532.9632318,2025-12-07 15:50:29.639507,2025-12-07 15:50:31.845495,0 days 00:00:02.205988,medium,COMPLETE
190,-428311532.9632318,2025-12-07 15:50:31.845495,2025-12-07 15:50:34.162443,0 days 00:00:02.316948,medium,COMPLETE
191,-428311532.9632318,2025-12-07 15:50:34.162443,2025-12-07 15:50:36.394739,0 days 00:00:02.232296,medium,COMPLETE
