number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
90,-0.0016559720935109083,2025-12-07 18:13:19.520039,2025-12-07 18:13:20.631071,0 days 00:00:01.111032,0.9654776107119409,0.007335870682120242,6,50,3458,110,4.1245245734893325,0.2027240514493009,0.6151111704860137,simple,COMPLETE
91,-0.0016559720935109083,2025-12-07 18:13:20.631071,2025-12-07 18:13:21.106120,0 days 00:00:00.475049,0.8465481809925516,0.08661040433196711,3,91,1076,122,2.019023938625241,1.747121557338945,0.7542313569962579,simple,COMPLETE
92,-0.0016559720935109083,2025-12-07 18:13:21.106120,2025-12-07 18:13:21.511632,0 days 00:00:00.405512,0.7350158693754145,0.06543958424919909,4,87,738,127,1.6987721670574738,1.1696821394639902,0.5808493714775484,simple,COMPLETE
93,-0.001711622650447146,2025-12-07 18:13:21.511632,2025-12-07 18:13:22.169825,0 days 00:00:00.658193,0.8296303998042714,0.024628988827598796,3,78,1287,118,1.3725736774481019,0.9816213518059757,0.861998532855279,simple,COMPLETE
94,-0.002348473665826393,2025-12-07 18:13:22.172015,2025-12-07 18:13:22.794968,0 days 00:00:00.622953,0.8923661743140563,0.09995027213639894,3,97,1484,127,1.196591228973091,0.671476726717845,0.7488308262252751,simple,COMPLETE
95,-0.0016559720935109083,2025-12-07 18:13:22.796976,2025-12-07 18:13:23.468721,0 days 00:00:00.671745,0.5684780867253806,0.031560007272904644,5,82,1791,92,1.8534957069973244,1.558820857175615,0.6920498040637207,simple,COMPLETE
96,-0.0016559720935109083,2025-12-07 18:13:23.470347,2025-12-07 18:13:24.301666,0 days 00:00:00.831319,0.7621858743990144,0.02959943829192908,4,52,2460,97,2.435870522421728,2.0785645707981737,0.9094426504993922,simple,COMPLETE
97,-0.0016525810231153848,2025-12-07 18:13:24.303671,2025-12-07 18:13:24.725596,0 days 00:00:00.421925,0.7822283026795702,0.01802733746125008,3,64,597,89,1.5857414458297099,0.39443116182839105,0.5934588384619839,simple,COMPLETE
98,-0.0016545302374883313,2025-12-07 18:13:24.725596,2025-12-07 18:13:25.115696,0 days 00:00:00.390100,0.6902570939203411,0.01966487307356546,8,65,565,88,1.505074144966479,5.450335830409784,0.5948175153725519,simple,COMPLETE
99,-0.0016521168152708505,2025-12-07 18:13:25.115696,2025-12-07 18:13:25.551389,0 days 00:00:00.435693,0.6921534997535641,0.017931509843163166,8,64,634,89,1.5442808219014932,5.374816036737749,0.5928415488472274,simple,COMPLETE
100,-0.0016549107085913988,2025-12-07 18:13:25.551389,2025-12-07 18:13:25.984199,0 days 00:00:00.432810,0.6900279058619331,0.014861785789577177,8,64,650,88,1.5010763845092583,5.466548026937281,0.5890192140311107,simple,COMPLETE
101,-0.0016535473519583288,2025-12-07 18:13:25.985708,2025-12-07 18:13:26.419073,0 days 00:00:00.433365,0.6978965848460409,0.014576399962776975,8,64,601,89,1.601006424264253,6.033085127492544,0.5903858326690383,simple,COMPLETE
102,-0.0016526248026572283,2025-12-07 18:13:26.419073,2025-12-07 18:13:26.822634,0 days 00:00:00.403561,0.6708344827829272,0.015228547496508812,8,67,589,89,1.586524822811467,5.361941777925891,0.5945854769924112,simple,COMPLETE
103,-0.001652004041209576,2025-12-07 18:13:26.822634,2025-12-07 18:13:27.232386,0 days 00:00:00.409752,0.6959243202653653,0.012806542422573269,8,69,624,89,1.5681355873852143,5.253691766793436,0.5684977529152475,simple,COMPLETE
104,-0.0016522241006105738,2025-12-07 18:13:27.232386,2025-12-07 18:13:27.654163,0 days 00:00:00.421777,0.7071631940598685,0.014610465226582374,8,69,628,89,1.5406057556459742,5.220643911119736,0.5894468922872115,simple,COMPLETE
105,-0.0016526992730957109,2025-12-07 18:13:27.655202,2025-12-07 18:13:28.051654,0 days 00:00:00.396452,0.6959267729230417,0.01277871704910343,8,69,612,89,1.5878893424143699,5.370744289929594,0.574656245984084,simple,COMPLETE
106,-0.001652076841432537,2025-12-07 18:13:28.054120,2025-12-07 18:13:28.470498,0 days 00:00:00.416378,0.6886046772570269,0.012748266887843026,8,72,617,89,1.5716624892406643,5.584410543223205,0.58835468371716,simple,COMPLETE
107,-0.0016533963824247138,2025-12-07 18:13:28.470498,2025-12-07 18:13:28.879876,0 days 00:00:00.409378,0.6933328451949737,0.013095979115031367,8,73,619,89,1.5989544934969468,5.510475846490379,0.5700150184462061,simple,COMPLETE
108,-0.0016528213776620948,2025-12-07 18:13:28.879876,2025-12-07 18:13:29.302135,0 days 00:00:00.422259,0.7009254919356891,0.011984403977624928,8,75,594,85,1.5900049703549937,6.477028559098326,0.5535273991269539,simple,COMPLETE
109,-0.002432645778660462,2025-12-07 18:13:29.302135,2025-12-07 18:13:29.834679,0 days 00:00:00.532544,0.7037298034705302,0.011883183877602309,8,69,853,85,1.2281823638924283,6.692470630010337,0.572548507925939,simple,COMPLETE
110,-0.0016559720935109083,2025-12-07 18:13:29.835685,2025-12-07 18:13:30.204896,0 days 00:00:00.369211,0.6694264297203675,0.01219975991420053,9,74,612,86,1.6559310247034769,4.901018692013909,0.5385260854148277,simple,COMPLETE
